page|96
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|402,482,418.37|146,917,702.70
结算备付金||
拆出资金||
交易性金融资产||
以公允价值计量且其变动计入当期损益的金融资产||
衍生金融资产||
应收票据|22,414,192.79|35,396,612.66
应收账款|409,315,766.70|374,234,809.45
应收款项融资|14,068,271.81|
预付款项|21,095,774.68|18,313,565.37
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|4,309,110.99|6,776,389.08
其中：应收利息||
应收股利||
买入返售金融资产||
存货|700,176,194.16|568,841,064.94
合同资产||
持有待售资产||
一年内到期的非流动资产||
page|97
其他流动资产|5,138,315.82|4,945,308.65
流动资产合计|1,579,000,045.32|1,155,425,452.85
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||
其他债权投资||
持有至到期投资||
长期应收款|31,169,823.79|35,977,703.18
长期股权投资|0.00|
其他权益工具投资||
其他非流动金融资产||
投资性房地产|2,563,447.65|2,925,591.75
固定资产|475,112,462.03|490,693,097.80
在建工程|51,605,987.90|10,499,542.32
生产性生物资产||
油气资产||
使用权资产||
无形资产|73,579,071.04|77,196,216.31
开发支出||
商誉|120,320,174.46|120,320,174.46
长期待摊费用|13,870,155.77|14,115,616.56
递延所得税资产|12,667,736.95|8,536,826.26
其他非流动资产|12,222,107.52|15,129,614.62
非流动资产合计|793,110,967.11|775,394,383.26
资产总计|2,372,111,012.43|1,930,819,836.11
流动负债：||
短期借款|608,111,521.12|507,783,688.70
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据|25,705,002.20|8,252,340.97
应付账款|349,607,138.73|272,437,587.73
预收款项|69,692,289.45|48,104,065.58
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|19,226,980.16|18,530,607.73
page|98
应交税费|5,447,757.15|11,647,390.50
其他应付款|54,763,946.18|102,279,275.88
其中：应付利息|46,666.67|113,830.15
应付股利||1,961,185.16
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|69,000,000.00|34,202,756.11
其他流动负债||
流动负债合计|1,201,554,634.99|1,003,237,713.20
非流动负债：||
保险合同准备金||
长期借款|107,926,595.76|183,259,549.17
应付债券|219,872,115.54|
其中：优先股||
永续债||
租赁负债||
长期应付款|2,920,901.31|3,494,874.65
长期应付职工薪酬||
预计负债||
递延收益|2,822,296.51|3,385,708.75
递延所得税负债|4,094,548.33|6,985,706.91
其他非流动负债||
非流动负债合计|337,636,457.45|197,125,839.48
负债合计|1,539,191,092.44|1,200,363,552.68
所有者权益：||
股本|201,940,000.00|201,940,000.00
其他权益工具|49,734,949.29|
其中：优先股||
永续债||
资本公积|313,911,241.89|310,502,975.31
减：库存股|6,208,160.00|10,883,600.00
其他综合收益|5,167,397.10|2,426,621.69
专项储备||
盈余公积|24,080,888.57|23,118,748.85
一般风险准备||
未分配利润|236,556,953.31|195,411,335.42
归属于母公司所有者权益合计|825,183,270.16|722,516,081.27
少数股东权益|7,736,649.83|7,940,202.16
所有者权益合计|832,919,919.99|730,456,283.43
负债和所有者权益总计|2,372,111,012.43|1,930,819,836.11
