page|74
项目|附注||2021 年 12 月 31 日  2020 年 12 月 31 日
流动资产：|||
货币资金||254,161,725.35|287,332,447.50
结算备付金|||
拆出资金|||
交易性金融资产||13,418,576.90|9,508,269.31
衍生金融资产|||
应收票据||16,248,029.49|6,290,308.74
应收账款||479,954,361.22|447,215,700.29
应收款项融资||17,184,570.31|32,692,402.70
预付款项||31,759,094.77|24,790,910.79
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||23,312,133.55|19,228,493.12
其中：应收利息||1,856.40|1,237.20
应收股利|||
买入返售金融资产|||
page|75
存货||904,797,410.96|662,837,076.91
合同资产||70,434,088.33|74,659,751.75
持有待售资产||21,764,163.55|21,764,163.55
一年内到期的非流动资产|||
其他流动资产||40,094,029.08|37,154,353.44
流动资产合计||1,873,128,183.51|1,623,473,878.10
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产||1,608,395.42|1,724,551.20
固定资产||318,333,213.79|259,157,641.51
在建工程|||60,654,630.85
生产性生物资产|||
油气资产|||
使用权资产||13,027,417.12|
无形资产||76,497,572.73|79,609,039.67
开发支出|||
商誉||64,951,329.04|66,457,599.91
长期待摊费用||1,502,693.50|1,981,741.26
递延所得税资产||19,187,516.61|17,937,865.66
其他非流动资产||2,501,082.21|2,751,248.45
非流动资产合计||497,609,220.42|490,274,318.51
资产总计||2,370,737,403.93|2,113,748,196.61
流动负债：|||
短期借款||300,581,744.31|227,620,316.56
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据||136,765,912.48|102,856,353.32
应付账款||314,861,878.71|227,689,924.21
预收款项|||
合同负债||535,974,255.74|471,914,943.25
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||21,043,756.98|19,599,676.12
应交税费||17,069,759.74|12,601,347.61
其他应付款||10,810,653.77|29,881,426.21
其中：应付利息|||787,539.39
应付股利||1,905,256.70|5,686,282.64
应付手续费及佣金|||
page|76
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||5,034,057.62|2,264,864.49
其他流动负债||28,197,057.66|22,823,648.54
流动负债合计||1,370,339,077.01|1,117,252,500.31
非流动负债：|||
保险合同准备金|||
长期借款||14,357,745.83|17,008,240.66
应付债券|||
其中：优先股|||
永续债|||
租赁负债||3,944,228.44|
长期应付款|||
长期应付职工薪酬|||
预计负债||28,621,535.64|32,794,785.02
递延收益||44,564,018.00|45,938,374.96
递延所得税负债||8,542,390.92|11,103,335.07
其他非流动负债||2,747,789.41|18,075,872.35
非流动负债合计||102,777,708.24|124,920,608.06
负债合计||1,473,116,785.25|1,242,173,108.37
所有者权益（或股东权益）：|||
实收资本（或股本）||112,518,866.00|112,518,866.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||352,335,512.57|352,335,512.57
减：库存股|||
其他综合收益||-8,942,711.84|-3,370,731.24
专项储备||4,502,185.58|3,079,666.43
盈余公积||52,766,737.58|49,200,941.44
一般风险准备|||
未分配利润||370,534,129.82|344,811,106.67
归属于母公司所有者权益（或股东权益）合计||883,714,719.71|858,575,361.87
少数股东权益||13,905,898.97|12,999,726.37
所有者权益（或股东权益）合计||897,620,618.68|871,575,088.24
负债和所有者权益（或股东权益）总计||2,370,737,403.93|2,113,748,196.61
