page|66
项目|附注六|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||763,567,844.25|702,801,988.53
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|注释 75|283,618,495.50|274,712,855.57
经营活动现金流入小计||1,047,186,339.75|977,514,844.10
购买商品、接受劳务支付的现金||630,257,360.99|534,488,585.79
page|67
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||58,732,684.44|54,403,696.42
支付的各项税费||72,397,318.37|55,445,341.08
支付其他与经营活动有关的现金|注释 75|363,487,153.04|403,589,729.10
经营活动现金流出小计||1,124,874,516.84|1,047,927,352.39
经营活动产生的现金流量净额||-77,688,177.09|-70,412,508.29
二、投资活动产生的现金流量：|||
收回投资收到的现金||17,475,725.70|
取得投资收益收到的现金||9,115,623.27|25,675,362.30
处置固定资产、无形资产和其他长期资产收回的现金净额||19,000.00|20,000.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|注释 75|1,125,000,000.00|2,590,000,000.00
投资活动现金流入小计||1,151,610,348.97|2,615,695,362.30
购建固定资产、无形资产和其他长期资产支付的现金||46,315,645.42|29,666,185.49
投资支付的现金||34,000,000.00|3,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|注释 75|1,125,000,000.00|2,506,529,707.92
投资活动现金流出小计||1,205,315,645.42|2,539,195,893.41
投资活动产生的现金流量净额||-53,705,296.45|76,499,468.89
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||10,920,000.00|7,000,000.00
其中：子公司吸收少数股东投资收到的现金||10,920,000.00|7,000,000.00
取得借款收到的现金|||
收到其他与筹资活动有关的现金|注释 75|109,216,174.00|140,055,320.00
筹资活动现金流入小计||120,136,174.00|147,055,320.00
偿还债务支付的现金|||37,000,000.00
分配股利、利润或偿付利息支付的现金||47,796,000.00|114,055,248.33
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|注释 75|117,438,514.49|141,481,174.00
筹资活动现金流出小计||165,234,514.49|292,536,422.33
筹资活动产生的现金流量净额||-45,098,340.49|-145,481,102.33
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-176,491,814.03|-139,394,141.73
加：期初现金及现金等价物余额||1,192,077,692.28|1,331,471,834.01
六、期末现金及现金等价物余额||1,015,585,878.25|1,192,077,692.28
