page|63
项目|附注六|2019 年度|2018 年度
一、营业总收入||2,016,689,200.82|1,593,794,089.45
其中：营业收入|注释 59|2,016,689,200.82|1,593,794,089.45
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,570,333,973.74|1,230,848,722.82
其中：营业成本|注释 59|1,435,948,641.66|1,144,977,205.76
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|注释 60|787,412.33|1,727,732.18
销售费用|||
管理费用|注释 62|79,306,772.69|59,953,586.94
研发费用|注释 63|62,334,865.66|28,997,551.31
财务费用|注释 64|-8,043,718.60|-4,807,353.37
其中：利息费用|||255,248.33
利息收入||8,332,513.09|8,140,522.73
page|64
加：其他收益|注释 65|2,203,865.62|7,087,109.00
投资收益（损失以“－”号填列）|注释 66|-3,005,263.10|21,745,195.31
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益||-12,120,886.37|
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
|信用减值损失（损失以“-”号填列）  注释 69|-6,028,153.61|
|资产减值损失（损失以“-”号填列）  注释 70||-10,687,411.73
资产处置收益（损失以“－”号填列）|||-31,095.86
三、营业利润（亏损以“－”号填列）||439,525,675.99|381,059,163.35
加：营业外收入|||
减：营业外支出|注释 73|244,358.07|1,648.27
四、利润总额（亏损总额以“－”号填列）||439,281,317.92|381,057,515.08
减：所得税费用|注释 74|63,226,383.66|55,764,375.82
五、净利润（净亏损以“－”号填列）||376,054,934.26|325,293,139.26
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||376,054,934.26|326,224,215.20
2.终止经营净利润（净亏损以“－”号填列）|||-931,075.94
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||361,506,686.40|325,806,560.64
2.少数股东损益（净亏损以“-”号填列）||14,548,247.86|-513,421.38
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
page|65
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||376,054,934.26|325,293,139.26
（一）归属于母公司所有者的综合收益总额||361,506,686.40|325,806,560.64
（二）归属于少数股东的综合收益总额||14,548,247.86|-513,421.38
八、每股收益：|||
（一）基本每股收益(元/股)||1.13|1.02
（二）稀释每股收益(元/股)||1.13|1.02
