page|93
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||861,605,764.08|1,085,941,860.51
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||36,010,604.30|36,842,745.59
收到其他与经营活动有关的现金|六、47|37,394,059.67|30,432,141.91
经营活动现金流入小计||935,010,428.05|1,153,216,748.01
购买商品、接受劳务支付的现金||529,744,286.32|791,138,516.21
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||258,441,690.59|254,010,415.19
支付的各项税费||58,532,691.54|40,087,202.38
支付其他与经营活动有关的现金|六、47|73,721,184.88|105,997,928.89
经营活动现金流出小计||920,439,853.33|1,191,234,062.67
经营活动产生的现金流量净额||14,570,574.72|-38,017,314.66
二、投资活动产生的现金流量：|||
收回投资收到的现金||565,000,000.00|1,671,000,000.00
取得投资收益收到的现金||26,012,390.17|41,367,340.96
处置固定资产、无形资产和其他长期资产收回的现金净额||2,402,000.00|
处置子公司及其他营业单位收到的现金净额||59,182,400.00|4,600,000.00
收到其他与投资活动有关的现金|||64,950,000.00
投资活动现金流入小计||652,596,790.17|1,781,917,340.96
page|94
购建固定资产、无形资产和其他长期资产支付的现金||110,078,657.87|50,550,768.87
投资支付的现金||550,000,000.00|1,260,250,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||37,500,000.00
支付其他与投资活动有关的现金|||64,950,000.00
投资活动现金流出小计||660,078,657.87|1,413,250,768.87
投资活动产生的现金流量净额||-7,481,867.70|368,666,572.09
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||23,976,208.61|
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|六、47|349,261.00|
筹资活动现金流出小计||24,325,469.61|
筹资活动产生的现金流量净额||-24,325,469.61|
四、汇率变动对现金及现金等价物的影响||-41,377.07|-66,917.65
五、现金及现金等价物净增加额||-17,278,139.66|330,582,339.78
加：期初现金及现金等价物余额||710,767,969.88|380,185,630.10
六、期末现金及现金等价物余额||693,489,830.22|710,767,969.88
