page|94
项目|附注七|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||579,812,116.39|444,865,590.79
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
page|95
收到其他与经营活动有关的现金|78、（1）|31,029,379.59|20,006,304.67
经营活动现金流入小计||610,841,495.98|464,871,895.46
购买商品、接受劳务支付的现金||514,903,513.65|299,274,038.29
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||44,872,157.24|35,957,567.92
支付的各项税费||40,202,642.86|40,798,038.41
支付其他与经营活动有关的现金|78、（2）|75,030,198.91|49,190,883.93
经营活动现金流出小计||675,008,512.66|425,220,528.55
经营活动产生的现金流量净额||-64,167,016.68|39,651,366.91
二、投资活动产生的现金流量：|||
收回投资收到的现金||380,000,000.00|
取得投资收益收到的现金||3,954,717.91|317,939.20
处置固定资产、无形资产和其他长期资产收回的现金净额||10,600.00|179,300.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||383,965,317.91|497,239.20
购建固定资产、无形资产和其他长期资产支付的现金||178,593,059.43|3,207,444.37
投资支付的现金||480,000,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||658,593,059.43|3,207,444.37
投资活动产生的现金||-274,627,741.52|-2,710,205.17
page|96
流量净额|||
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||528,548,758.50|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||20,000,000.00
收到其他与筹资活动有关的现金|78、（5）|33,578,762.51|27,011,850.66
筹资活动现金流入小计||562,127,521.01|47,011,850.66
偿还债务支付的现金||49,690,000.00|20,510,000.00
分配股利、利润或偿付利息支付的现金||2,343,537.61|2,444,221.97
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|78、（6）|36,859,460.87|23,849,603.71
筹资活动现金流出小计||88,892,998.48|46,803,825.68
筹资活动产生的现金流量净额||473,234,522.53|208,024.98
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||134,439,764.33|37,149,186.72
加：期初现金及现金等价物余额||270,078,127.67|232,928,940.95
六、期末现金及现金等价物余额||404,517,892.00|270,078,127.67
