page|90
项目|附注七|2021 年度|2020 年度
一、营业总收入||735,735,699.41|600,653,195.43
其中：营业收入|61|735,735,699.41|600,653,195.43
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||565,672,460.36|410,982,793.22
其中：营业成本|61|478,094,424.61|358,938,926.33
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|1,677,952.83|1,497,835.48
销售费用|63|20,031,269.97|9,290,648.97
管理费用|64|42,928,152.70|24,712,662.35
研发费用|65|26,284,026.71|20,736,243.75
财务费用|66|-3,343,366.46|-4,193,523.66
其中：利息费用||1,258,354.83|2,441,973.08
利息收入||2,347,902.37|2,110,531.04
加：其他收益|67|115,287.31|239,260.52
投资收益（损失以“－”号填列）|68|3,354,717.91|317,939.20
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|70|1,759,420.93|
page|91
信用减值损失（损失以“-”号填列）|71|-46,285,954.68|-68,430,010.36
资产减值损失（损失以“-”号填列）|||
资产处置收益（损失以“－”号填列）|||
三、营业利润（亏损以“－”号填列）||129,006,710.52|121,797,591.57
加：营业外收入|74|5,623,630.57|3,516,655.97
减：营业外支出|75|639,267.14|49,047.24
四、利润总额（亏损总额以“－”号填列）||133,991,073.95|125,265,200.30
减：所得税费用|76|16,332,615.98|16,830,279.15
五、净利润（净亏损以“－”号填列）||117,658,457.97|108,434,921.15
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||117,658,457.97|108,434,921.15
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||117,247,922.41|107,929,889.94
2.少数股东损益（净亏损以“-”号填列）||410,535.56|505,031.21
六、其他综合收益的税后净额|77|-479,690.76|-1,114,774.32
（一）归属母公司所有者的其他综合收益的税后净额||-479,690.76|-1,114,774.32
1．不能重分类进损益的其他综合收益||-479,690.76|-1,114,774.32
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-479,690.76|-1,114,774.32
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
page|92
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||117,178,767.21|107,320,146.83
（一）归属于母公司所有者的综合收益总额||116,768,231.65|106,815,115.62
（二）归属于少数股东的综合收益总额||410,535.56|505,031.21
八、每股收益：|||
（一）基本每股收益(元/股)||1.48|1.66
（二）稀释每股收益(元/股)||1.48|1.66
