page|167
一、营业收入四(47)|207,186,647|153,986,870|–|–
减 ：营业成本四(47)|(181,548,507)|(128,810,033)|–|–
税金及附加四(48)|(478,726)|(378,972)|(5,373)|(1,901)
销售费用四(49)|(2,837,899)|(2,252,381)|–|–
管理费用四(50)|(15,029,663)|(11,599,761)|(23,939)|(16,688)
研发费用四(51)|(2,154,839)|(1,741,558)|(21)|(17)
财务（费用）/收入四(52)|(1,563,359)|(852,547)|8,731|(89,526)
其中 ：利息费用|(1,562,008)|(1,016,748)|(98)|(108,233)
利息收入|187,794|185,708|8,852|18,727
加 ：其他收益四(54)|1,768,139|1,318,934|8|46
四(55)投资收益十七(6)|2,406,535|850,811|2,022,132|1,565,868
其中 ：对联营企业和合营企业的投资收益/（损失）|42,660|(21,819)|–|–
公允价值变动收益/（损失）四(56)|98,949|134,118|29,843|(6,515)
信用减值损失四(57)|(578,951)|(472,755)|(1)|–
资产减值损失四(58)|(60,390)|(35,058)|–|–
资产处置收益/（损失）四(59)|40,461|(12,164)|–|–
二、营业利润|7,248,397|10,135,504|2,031,380|1,451,267
加 ：营业外收入四(60)(a)|289,542|229,226|–|4,725
减 ：营业外支出四(60)(b)|(404,258)|(326,073)|–|–
三、利润总额|7,133,681|10,038,657|2,031,380|1,455,992
减 ：所得税费用四(61)|(3,214,468)|(3,106,623)|(4,059)|(17,971)
四、净利润|3,919,213|6,932,034|2,027,321|1,438,021
按经营持续性分类 ：持续经营净利润|3,919,213|6,932,034|2,027,321|1,438,021
终止经营净利润|–|–|–|–
按所有权归属分类 ：归属于母公司股东的净利润|4,269,098|7,326,079|2,027,321|1,438,021
少数股东损益|(349,885)|(394,045)|–|–
page|168
五、其他综合收益的税后净额|1,742,921|141,847|–|–
归属于母公司股东的其他综合收益的税后净额|1,585,918|139,455|–|–
不能重分类进损益的其他综合收益|1,873,868|490,425|–|–
其他权益工具投资公允价值变动四(63)|1,873,959|489,552|–|–
权益法下不能转损益的其他综合收益四(63)|(91)|873|–|–
将重分类进损益的其他综合收益|(287,950)|(350,970)|–|–
现金流量套期储备四(63)|(4,536)|(22,858)|–|–
外币财务报表折算差额四(63)|(283,414)|(328,112)|–|–
归属于少数股东的其他综合收益的税后净额四(63)|157,003|2,392|–|–
六、综合收益总额|5,662,134|7,073,881|2,027,321|1,438,021
归属于母公司股东的综合收益总额|5,855,016|7,465,534|2,027,321|1,438,021
归属于少数股东的综合收益总额|(192,882)|(391,653)|–|–
七、每股收益基本每股收益（人民币元）四(62)|0.93|1.64|不适用|不适用
稀释每股收益（人民币元）四(62)|0.93|1.64|不适用|不适用
