page|97
项目|附注六|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,003,786,873.23|655,458,804.71
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||33,847.69|0.00
收到其他与经营活动有关的现金|注释 78|21,979,406.23|8,167,639.04
经营活动现金流入小计||1,025,800,127.15|663,626,443.75
购买商品、接受劳务支付的现金||237,019,225.29|199,066,109.91
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||92,818,885.10|44,069,443.31
支付的各项税费||100,312,658.43|64,523,165.52
支付其他与经营活动有关的现金|注释 78|440,611,898.75|292,720,406.83
经营活动现金流出小计||870,762,667.57|600,379,125.57
经营活动产生的现金流量净额||155,037,459.58|63,247,318.18
二、投资活动产生的现金流量：|||
收回投资收到的现金||48,700,000.00|0.00
取得投资收益收到的现金||15,918,329.22|798,671.07
处置固定资产、无形资产和其他长期资产收回的现金净额||50,000.00|0.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|注释 78|322,000,000.00|230,000,000.00
投资活动现金流入小计||386,668,329.22|230,798,671.07
购建固定资产、无形资产和其他长期资产支付的现金||26,077,284.96|51,707,833.39
投资支付的现金||0.00|111,900,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|注释 78|340,000,000.00|360,000,000.00
投资活动现金流出小计||366,077,284.96|523,607,833.39
投资活动产生的现金流量净额||20,591,044.26|-292,809,162.32
page|98
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||28,750,000.00|261,508,377.83
其中：子公司吸收少数股东投资收到的现金||2,200,000.00|0.00
取得借款收到的现金||200,000,000.00|300,000,000.00
收到其他与筹资活动有关的现金|注释 78|0.00|3,000,000.00
筹资活动现金流入小计||228,750,000.00|564,508,377.83
偿还债务支付的现金||200,000,000.00|100,000,000.00
分配股利、利润或偿付利息支付的现金||110,210,970.68|2,622,083.34
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|注释 78|0.00|21,888,587.72
筹资活动现金流出小计||310,210,970.68|124,510,671.06
筹资活动产生的现金流量净额||-81,460,970.68|439,997,706.77
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||94,167,533.16|210,435,862.63
加：期初现金及现金等价物余额||450,050,741.74|239,614,879.11
六、期末现金及现金等价物余额||544,218,274.90|450,050,741.74
