page|71
项目|附注|2021 年 12 月 31日|2020 年 12 月 31日
流动资产：|||
货币资金||464,776,359.63|520,968,527.52
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产||93,363,571.51|3,817,152.00
应收票据||150,000.00|30,000.00
应收账款||2,654,496.00|4,480,386.76
应收款项融资|||
预付款项||16,075,048.06|37,349,987.80
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||2,256,234.35|2,185,963.91
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货||333,027,050.33|308,819,141.37
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||360,386.69|5,425,170.59
流动资产合计||912,663,146.57|883,076,329.95
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资||31,517,590.29|367,421.50
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产||277,446.86|303,126.26
固定资产||1,071,676,862.75|1,119,721,729.79
在建工程||210,925,024.08|209,587,063.08
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产||167,630,440.22|175,777,593.30
开发支出||283,980,500.45|240,997,265.56
商誉|||
长期待摊费用||4,753,406.88|5,298,108.08
page|72
递延所得税资产||50,532,085.31|49,820,653.49
其他非流动资产||6,221,033.61|40,919,395.16
非流动资产合计||1,827,514,390.45|1,842,792,356.22
资产总计||2,740,177,537.02|2,725,868,686.17
流动负债：|||
短期借款||200,000,000.00|170,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债||333,884,949.27|374,909,612.02
衍生金融负债|||
应付票据|||
应付账款||128,339,006.31|152,262,416.90
预收款项||8,978.15|17,184.01
合同负债||796,447.54|4,117,633.96
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||28,629,503.23|45,616,529.33
应交税费||26,509,363.26|25,932,231.59
其他应付款||67,785,654.78|22,905,123.32
其中：应付利息||339,361.12|181,805.55
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债||253,538.16|184,292.28
流动负债合计||786,207,440.70|795,945,023.41
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款||2,289,555.02|15,962,677.12
长期应付职工薪酬||59,922,294.25|61,495,172.21
预计负债||51,147,041.98|53,126,520.91
递延收益||23,010,693.88|25,573,018.44
递延所得税负债|||
其他非流动负债|||
非流动负债合计||136,369,585.13|156,157,388.68
负债合计||922,577,025.83|952,102,412.09
所有者权益（或股东权益）：|||
实收资本（或股本）||642,663,100.00|636,000,000.00
其他权益工具|||
其中：优先股|||
page|73
永续债|||
资本公积||551,168,327.70|508,138,027.90
减：库存股||45,775,497.00|
其他综合收益|||
专项储备||2,269,907.73|12,313,440.53
盈余公积||75,906,474.25|66,127,678.91
一般风险准备|||
未分配利润||591,368,198.51|551,187,126.74
归属于母公司所有者权益（或股东权益）合计||1,817,600,511.19|1,773,766,274.08
少数股东权益|||
所有者权益（或股东权益）合计||1,817,600,511.19|1,773,766,274.08
负债和所有者权益（或股东权益）总计||2,740,177,537.02|2,725,868,686.17
