page|75
项目|附 注|2021 年度|2020 年度
一、营业总收入||4,158,277,632.44|5,555,333,047.07
其中：营业收入||4,158,277,632.44|5,555,333,047.07
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||4,138,825,540.44|5,414,300,611.67
其中：营业成本||3,847,546,468.02|5,124,287,220.34
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||42,072,676.38|46,238,502.55
销售费用||5,859,418.66|10,365,665.29
管理费用||189,158,515.40|191,082,573.72
研发费用||25,077,535.56|9,051,065.47
财务费用||29,110,926.42|33,275,584.30
其中：利息费用||30,576,736.90|34,264,469.17
利息收入||1,683,636.20|1,159,957.55
加：其他收益||4,144,036.16|3,037,851.25
投资收益（损失以“－”号填列）||16,617,721.45|-34,121,980.93
其中：对联营企业和合营企业的投资收益||-34,664.75|-47,107.59
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
page|76
公允价值变动收益（损失以“－”号填列）||26,833,068.31|-1,296,340.00
信用减值损失（损失以“-”号填列）||-97,756.44|1,110,067.42
资产减值损失（损失以“-”号填列）||-148,403.88|-1,319,670.42
资产处置收益（损失以“－”号填列）|||159,131.73
三、营业利润（亏损以“－”号填列）||66,800,757.60|108,601,494.45
加：营业外收入||23,382,041.73|3,572,803.97
减：营业外支出||1,935,540.98|4,732,078.33
四、利润总额（亏损总额以“－”号填列）||88,247,258.35|107,442,220.09
减：所得税费用||14,755,390.82|29,954,768.35
五、净利润（净亏损以“－”号填列）||73,491,867.53|77,487,451.74
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||73,491,867.53|77,487,451.74
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||73,491,867.53|77,487,451.74
2.少数股东损益（净亏损以“-”号填列）|||
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||73,491,867.53|77,487,451.74
（一）归属于母公司所有者的综合收益总额||73,491,867.53|77,487,451.74
（二）归属于少数股东的综合收益总额|||
八、每股收益：|||
（一）基本每股收益(元/股)||0.1156|0.1218
（二）稀释每股收益(元/股)||0.1153|0.1218
