page|78
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,152,059,033.19|5,532,505,522.21
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||1,765,485.71|1,893,228.51
收到其他与经营活动有关的现金||33,567,254.71|30,732,591.12
经营活动现金流入小计||4,187,391,773.61|5,565,131,341.84
购买商品、接受劳务支付的现金||3,621,578,995.65|4,728,981,601.42
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||272,230,980.79|241,769,329.98
支付的各项税费||66,078,161.27|63,573,390.26
支付其他与经营活动有关的现金||125,134,740.35|94,111,965.64
经营活动现金流出小计||4,085,022,878.06|5,128,436,287.30
经营活动产生的现金流量净额||102,368,895.55|436,695,054.54
二、投资活动产生的现金流量：|||
收回投资收到的现金||331,588,372.08|395,416,772.26
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||6,882.52|199,780.22
page|79
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||331,595,254.60|395,616,552.48
购建固定资产、无形资产和其他长期资产支付的现金||84,676,522.45|82,720,805.59
投资支付的现金||387,385,302.78|434,605,137.60
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||472,061,825.23|517,325,943.19
投资活动产生的现金流量净额||-140,466,570.63|-121,709,390.71
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||45,775,497.00|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,738,000,000.00|1,910,000,000.00
收到其他与筹资活动有关的现金||331,869,850.00|369,755,500.00
筹资活动现金流入小计||2,115,645,347.00|2,279,755,500.00
偿还债务支付的现金||1,708,000,000.00|2,190,000,000.00
分配股利、利润或偿付利息支付的现金||37,677,369.87|32,208,545.79
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||388,074,469.94|70,699,859.11
筹资活动现金流出小计||2,133,751,839.81|2,292,908,404.90
筹资活动产生的现金流量净额||-18,106,492.81|-13,152,904.90
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-56,204,167.89|301,832,758.93
加：期初现金及现金等价物余额||520,968,527.52|219,135,768.59
六、期末现金及现金等价物余额||464,764,359.63|520,968,527.52
