page|67
项目|附注七|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,171,086,167.81|4,190,111,922.52
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||2,108,802.20|2,503,197.15
收到其他与经营活动有关的现金|78、|58,208,236.83|113,970,989.50
经营活动现金流入小计||4,231,403,206.84|4,306,586,109.17
购买商品、接受劳务支付的现金||2,083,443,633.77|2,706,026,978.52
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||306,216,070.12|348,624,527.87
支付的各项税费||458,005,100.14|423,893,921.41
支付其他与经营活动有关的现金|78、|404,531,856.48|360,717,859.57
经营活动现金流出小计||3,252,196,660.51|3,839,263,287.37
经营活动产生的现金流量净额||979,206,546.33|467,322,821.80
二、投资活动产生的现金流量：|||
收回投资收到的现金||3,063,100,000.00|3,331,500,000.00
取得投资收益收到的现金||14,710,128.86|25,068,447.75
处置固定资产、无形资产和其他长期资产收回的现金净额||956,067.80|62,230.42
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||3,078,766,196.66|3,356,630,678.17
购建固定资产、无形资产和其他长期资产支付的现金||205,223,714.85|272,352,299.05
投资支付的现金||3,232,113,941.17|3,645,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||3,437,337,656.02|3,917,352,299.05
投资活动产生的现金流量净额||-358,571,459.36|-560,721,620.88
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||1,200,000.00|800,000.00
page|68
其中：子公司吸收少数股东投资收到的现金||1,200,000.00|800,000.00
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||1,200,000.00|800,000.00
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||435,600,000.00|653,400,000.00
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|78、|100,000.00|
筹资活动现金流出小计||435,700,000.00|653,400,000.00
筹资活动产生的现金流量净额||-434,500,000.00|-652,600,000.00
四、汇率变动对现金及现金等价物的影响||-238,179.73|10,418.83
五、现金及现金等价物净增加额||185,896,907.24|-745,988,380.25
加：期初现金及现金等价物余额||227,396,940.29|973,385,320.54
六、期末现金及现金等价物余额||413,293,847.53|227,396,940.29
