page|86
项目|附注六|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||38,647,353,231.74|30,550,893,393.88
客户存款和同业存放款项净增加额||274,373,040.74|-275,896,804.64
向中央银行借款净增加额||15,334,713.94|
向其他金融机构拆入资金净增加额||467,277,117.81|44,266,999.55
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额||774,020,336.55|490,057,542.95
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||215,628,100.70|100,212,853.64
收到其他与经营活动有关的现金|注释 73|5,443,720,670.79|5,527,908,695.44
经营活动现金流入小计||45,837,707,212.27|36,437,442,680.82
购买商品、接受劳务支付的现金||30,395,942,585.55|23,534,532,445.43
客户贷款及垫款净增加额||1,163,494,981.87|657,004,382.91
存放中央银行和同业款项净增加额||272,815,319.52|-274,984,392.26
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金||1,242,179.16|201,323,478.28
支付保单红利的现金|||
支付给职工以及为职工支付的现金||4,138,366,486.37|3,974,168,812.65
支付的各项税费||1,414,706,094.64|1,935,781,193.96
支付其他与经营活动有关的现金|注释 73|11,199,941,573.39|6,207,372,134.74
经营活动现金流出小计||48,586,509,220.50|36,235,198,055.71
经营活动产生的现金流量净额||-2,748,802,008.23|202,244,625.11
二、投资活动产生的现金流量|||
收回投资收到的现金||2,556,724,443.13|2,706,215,667.46
取得投资收益收到的现金||173,182,465.16|259,368,343.88
处置固定资产、无形资产和其他长期资产收回的现金净额||6,662,676.68|10,152,002.58
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||2,736,569,584.97|2,975,736,013.92
购建固定资产、无形资产和其他长期资产支付的现金||541,170,872.02|642,236,879.74
投资支付的现金||2,875,677,919.95|876,647,776.59
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||86,617,620.30
投资活动现金流出小计||3,416,848,791.97|1,605,502,276.63
投资活动产生的现金流量净额||-680,279,207.00|1,370,233,737.29
三、筹资活动产生的现金流量|||
吸收投资收到的现金||136,896,417.60|392,324,954.48
其中：子公司吸收少数股东投资收到的现金||130,539,537.60|226,351,966.48
取得借款收到的现金||435,980,000.00|201,650,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||572,876,417.60|593,974,954.48
偿还债务支付的现金||45,515,530.84|259,203,634.56
分配股利、利润或偿付利息支付的现金||695,595,822.13|416,840,612.55
其中：子公司支付给少数股东的股利、利润||27,809,488.48|20,948,499.62
支付其他与筹资活动有关的现金|注释 73|286,006,981.91|22,471,381.94
筹资活动现金流出小计||1,027,118,334.88|698,515,629.05
筹资活动产生的现金流量净额||-454,241,917.28|-104,540,674.57
四、汇率变动对现金及现金等价物的影响||-311,297,014.90|104,804,772.87
五、现金及现金等价物净增加额||-4,194,620,147.41|1,572,742,460.70
加：期初现金及现金等价物余额||28,472,369,654.85|26,899,627,194.15
六、期末现金及现金等价物余额||24,277,749,507.44|28,472,369,654.85
