page|124
项目|附 注|2021 年度|2020 年度
一、营业总收入||743,658,931.04|1,029,142,035.73
其中：营业收入||743,658,931.04|1,029,142,035.73
利息收入|||
page|125
已赚保费|||
手续费及佣金收入|||
二、营业总成本||843,630,764.79|881,703,687.94
其中：营业成本||95,748,088.86|104,880,838.23
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||10,428,771.43|13,619,878.01
销售费用||590,477,987.51|603,525,562.62
管理费用||67,842,986.75|59,750,860.37
研发费用||78,033,826.53|94,038,020.55
财务费用||1,099,103.71|5,888,528.16
其中：利息费用||15,923,945.11|13,376,269.59
利息收入||18,119,531.53|7,591,466.22
加：其他收益||16,306,284.77|7,935,626.77
投资收益（损失以“－”号填列）||3,331,048.78|8,208,901.64
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||-111,967,101.15|-30,930,722.63
资产减值损失（损失以“-”号填列）||-22,257,941.24|-804,380.92
资产处置收益（损失以“－”号填列）|||76,872.70
page|126
三、营业利润（亏损以“－”号填列）||-214,559,542.60|131,924,645.36
加：营业外收入||320,102.51|3,541,014.00
减：营业外支出||546,158.21|1,068,227.36
四、利润总额（亏损总额以“－”号填列）||-214,785,598.30|134,397,432.00
减：所得税费用||-32,302,378.94|124,813.54
五、净利润（净亏损以“－”号填列）||-182,483,219.36|134,272,618.46
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-182,483,219.36|134,272,618.46
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-161,880,790.25|127,972,024.63
2.少数股东损益（净亏损以“-”号填列）||-20,602,429.11|6,300,593.83
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
page|127
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||-182,483,219.36|134,272,618.46
（一）归属于母公司所有者的综合收益总额||-161,880,790.25|127,972,024.63
（二）归属于少数股东的综合收益总额||-20,602,429.11|6,300,593.83
八、每股收益：|||
（一）基本每股收益(元/股)||-1.1563|0.9750
（二）稀释每股收益(元/股)||-1.1563|0.9750
