page|89
项目|附注六|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|（一）|82,441,576,557.53|70,058,019,254.76
结算备付金|||
拆出资金|||
交易性金融资产|（二）|82,108,177.68|13,882,228.19
衍生金融资产|（三）|7,336,427.71|3,680,744.17
应收票据|（四）|2,877,471,953.97|1,492,339,567.51
应收账款|（五）|56,071,732,233.32|54,503,832,655.28
应收款项融资|（六）|3,364,147,413.85|2,532,185,732.34
预付款项|（七）|30,414,156,267.17|24,219,577,654.09
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|（八）|40,510,726,564.47|37,087,260,947.33
其中：应收利息||256,200,039.43|197,243,555.41
应收股利||86,919,270.28|281,339,891.52
买入返售金融资产||0.00|
存货|（九）|122,680,009,472.15|156,352,264,130.83
合同资产|（十）|58,930,836,992.02|0.00
持有待售资产||0.00|
一年内到期的非流动资产|（十二）|5,837,617,091.55|12,711,698,260.48
其他流动资产|（十三）|13,047,918,222.86|11,645,599,292.91
流动资产合计||416,265,637,374.28|370,620,340,467.89
非流动资产：|||
发放贷款和垫款|（十六）|6,748,173,855.27|7,768,254,946.80
债权投资||0.00|0.00
其他债权投资||0.00|0.00
长期应收款|（十七）|44,732,121,069.84|107,045,056,813.55
长期股权投资|（十八）|24,040,842,490.88|14,981,902,830.20
其他权益工具投资|（十九）|7,284,826,186.78|5,193,870,023.55
其他非流动金融资产|（二十）|10,189,636.64|10,649,905.88
投资性房地产|（二十一）|1,049,308,271.04|1,058,838,466.53
固定资产|（二十二）|101,559,617,035.61|105,116,283,840.68
在建工程|（二十三）|13,196,603,785.60|12,216,571,615.81
生产性生物资产|（二十四）|5,399,764.21|5,055,700.53
油气资产||0.00|
使用权资产||0.00|
无形资产|（二十七）|201,522,676,283.57|181,716,983,548.61
开发支出|（二十八）|585,625.20|43,813,815.37
商誉|（二十九）|529,970,497.37|995,867,767.56
长期待摊费用|（三十）|1,084,128,244.45|1,220,786,843.82
page|90
递延所得税资产|（三十一）|4,110,383,972.22|3,780,379,804.24
其他非流动资产|（三十二）|64,402,977,578.45|5,324,279,802.50
非流动资产合计||470,277,804,297.13|446,478,595,725.63
资产总计||886,543,441,671.41|817,098,936,193.52
流动负债：|||
短期借款|（三十三）|15,636,747,292.07|14,562,528,354.31
向中央银行借款||0.00|
拆入资金||0.00|
交易性金融负债||0.00|0.00
衍生金融负债|（三十五）|37,062,051.19|16,242,798.26
应付票据|（三十六）|9,511,482,511.44|9,859,671,047.80
应付账款|（三十七）|121,575,486,175.38|110,619,082,887.07
预收款项|（三十八）|178,767,100.68|115,623,712,649.54
合同负债|（三十九）|122,537,435,821.32|0.00
卖出回购金融资产款||0.00|
吸收存款及同业存放|（四十）|11,356,470,697.19|12,217,602,400.15
代理买卖证券款||0.00|
代理承销证券款||0.00|
应付职工薪酬|（四十一）|2,458,287,974.11|2,343,086,609.45
应交税费|（四十二）|3,292,879,759.54|3,809,297,197.35
其他应付款|（四十三）|51,924,842,580.62|42,565,718,516.10
其中：应付利息||0.00|0.00
应付股利||1,555,861,973.34|875,455,598.98
应付手续费及佣金|||
应付分保账款|||
持有待售负债||0.00|0.00
一年内到期的非流动负债|（四十五）|25,883,850,542.66|25,326,370,045.15
其他流动负债|（四十六）|17,315,838,142.66|16,113,751,769.72
流动负债合计||381,709,150,648.86|353,057,064,274.90
非流动负债：|||
保险合同准备金|||
长期借款|（四十七）|240,452,137,758.33|226,908,916,968.21
应付债券|（四十八）|16,252,731,887.90|21,212,391,844.05
其中：优先股||0.00|
永续债||0.00|
租赁负债|||
长期应付款|（五十）|8,245,495,257.76|8,239,694,893.31
长期应付职工薪酬|（五十一）|3,639,370,857.11|3,927,410,663.32
预计负债|（五十二）|1,415,571,858.66|164,745,300.23
递延收益|（五十三）|3,371,449,217.66|2,159,486,755.49
递延所得税负债|（三十一）|1,103,000,750.20|838,038,442.27
其他非流动负债|（五十四）|6,445,195,082.37|5,949,493,975.15
非流动负债合计||280,924,952,669.99|269,400,178,842.03
负债合计||662,634,103,318.85|622,457,243,116.93
所有者权益（或股东权益）：|||
实收资本（或股本）|（五十五）|15,299,035,024.00|15,299,035,024.00
其他权益工具|（五十六）|25,996,391,142.02|22,943,768,877.85
其中：优先股||0.00|1,958,340,000.00
page|91
永续债||25,996,391,142.02|20,985,428,877.85
资本公积|（五十七）|28,204,545,361.98|26,569,037,552.32
减：库存股|（五十八）|788,887,591.91|788,887,591.91
其他综合收益|（五十九）|-1,407,877,870.28|-62,880,699.71
专项储备|（六十）|58,923,338.45|74,769,060.09
盈余公积|（六十一）|2,136,518,515.92|1,793,098,876.70
一般风险准备|（六十二）|298,611,659.85|202,917,584.67
未分配利润|（六十三）|48,229,167,372.27|42,603,997,145.27
归属于母公司所有者权益（或股东权益）合计||118,026,426,952.30|108,634,855,829.28
少数股东权益||105,882,911,400.26|86,006,837,247.31
所有者权益（或股东权益）合计||223,909,338,352.56|194,641,693,076.59
负债和所有者权益（或股东权益）总计||886,543,441,671.41|817,098,936,193.52
