page|93
项目|附注六|2020 年度|2019 年度
一、营业总收入|||401,955,481,174.69  348,793,299,764.92
其中：营业收入||（六十四）  401,180,654,966.12  348,028,255,864.41|
利息收入||771,760,172.31|760,812,772.11
已赚保费|||
手续费及佣金收入||3,066,036.26|4,231,128.40
二、营业总成本|||383,903,686,439.81  333,108,399,492.02
其中：营业成本||（六十四）  344,083,259,868.59  298,987,115,646.06|
利息支出||158,563,303.32|133,032,956.05
手续费及佣金支出||6,895,163.73|5,343,774.36
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十七）|2,255,744,458.27|2,639,915,628.43
销售费用|（六十八）|1,078,148,730.70|1,106,366,674.46
管理费用|（六十九）|11,479,260,598.50|11,437,258,711.00
研发费用|（七十）|15,268,922,394.27|11,288,495,597.19
财务费用|（七十一）|9,572,891,922.43|7,510,870,504.47
其中：利息费用||10,142,024,232.17|10,704,767,426.32
利息收入||3,414,432,660.02|3,332,218,625.35
加：其他收益|（七十二）|515,380,581.77|208,978,723.25
投资收益（损失以“－”号填列）|（七十三）|3,103,283,964.21|612,350,805.64
其中：对联营企业和合营企业的投资收益||602,783,852.42|457,881,209.26
以摊余成本计量的金融资产终止确认收益||-1,163,536,345.09|-266,458,986.52
汇兑收益（损失以“－”号填列）||-2,745,936.62|1,143,781.34
page|94
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|（七十五）|19,774,778.86|7,820,471.58
信用减值损失（损失以“-”号填列）|（七十六）|-3,408,295,270.77|-2,208,581,965.54
资产减值损失（损失以“-”号填列）|（七十七）|-2,175,428,384.91|-1,092,864,958.51
资产处置收益（损失以“－”号填列）|（七十八）|124,160,795.49|431,783,928.43
三、营业利润（亏损以“－”号填列）||16,227,925,262.91|13,645,531,059.09
加：营业外收入|（七十九）|316,920,003.84|368,378,593.32
减：营业外支出|（八十）|338,124,927.56|327,329,317.27
四、利润总额（亏损总额以“－”号填列）||16,206,720,339.19|13,686,580,335.14
减：所得税费用|（八十一）|3,470,905,862.93|3,084,877,084.13
五、净利润（净亏损以“－”号填列）||12,735,814,476.26|10,601,703,251.01
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||12,735,814,476.26|10,601,703,251.01
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||7,987,168,430.79|7,239,615,758.25
2.少数股东损益（净亏损以“-”号填列）||4,748,646,045.47|3,362,087,492.76
六、其他综合收益的税后净额||-1,462,424,301.26|293,925,791.96
（一）归属母公司所有者的其他综合收益的税后净额||-1,349,294,565.28|234,515,704.75
1．不能重分类进损益的其他综合收益||-168,040,184.84|322,519,397.89
（1）重新计量设定受益计划变动额||18,812,490.50|244,634,524.73
（2）权益法下不能转损益的其他综合收益||0.00|0.00
（3）其他权益工具投资公允价值变动||-186,852,675.34|77,884,873.16
（4）企业自身信用风险公允价值变动||0.00|0.00
2．将重分类进损益的其他综合收益||-1,181,254,380.44|-88,003,693.14
（1）权益法下可转损益的其他综合收益||-118,573,170.68|19,621,968.56
（2）其他债权投资公允价值变动||0.00|0.00
（3）金融资产重分类计入其他综合收益的金额||0.00|0.00
（4）其他债权投资信用减值准备||0.00|0.00
（5）现金流量套期储备||-16,655,402.34|-11,825,252.80
（6）外币财务报表折算差额||-1,069,030,398.04|-99,252,416.59
page|95
（7）其他||23,004,590.62|3,452,007.69
（二）归属于少数股东的其他综合收益的税后净额||-113,129,735.98|59,410,087.21
七、综合收益总额||11,273,390,175.00|10,895,629,042.97
（一）归属于母公司所有者的综合收益总额||6,637,873,865.51|7,474,131,463.00
（二）归属于少数股东的综合收益总额||4,635,516,309.49|3,421,497,579.97
八、每股收益：|||
（一）基本每股收益(元/股)||0.4632|0.4567
（二）稀释每股收益(元/股)||0.4632|0.4567
