page|96
项目|附注六|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||418,367,789,816.07|343,337,970,056.98
客户存款和同业存放款项净增加额||-3,011,951,394.02|-143,852,962.07
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金||739,795,239.97|760,561,788.80
page|97
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||1,832,892,967.88|1,429,052,357.06
收到其他与经营活动有关的现金|（八十三）|36,859,319,724.95|29,523,610,285.58
经营活动现金流入小计||454,787,846,354.85|374,907,341,526.35
购买商品、接受劳务支付的现金||325,336,565,160.29|278,913,947,769.90
客户贷款及垫款净增加额||-1,576,245,519.00|1,728,294,497.25
存放中央银行和同业款项净增加额||-1,155,581,648.73|1,415,158,477.58
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金||146,117,299.22|165,440,759.61
支付保单红利的现金|||
支付给职工及为职工支付的现金||31,618,059,516.02|29,071,486,503.44
支付的各项税费||14,738,154,039.39|14,380,743,335.51
支付其他与经营活动有关的现金|（八十三）|42,717,431,251.76|39,739,115,044.02
经营活动现金流出小计||411,824,500,098.95|365,414,186,387.31
经营活动产生的现金流量净额||42,963,346,255.90|9,493,155,139.04
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,567,531,746.31|343,565,970.27
取得投资收益收到的现金||838,771,327.24|423,004,165.84
处置固定资产、无形资产和其他长期资产收回的现金净额||12,823,575,418.31|11,584,539,782.69
处置子公司及其他营业单位收到的现金净额||4,350,888,505.59|670,251,475.72
收到其他与投资活动有关的现金|（八十三）|23,461,510,341.46|12,525,099,561.50
投资活动现金流入小计||43,042,277,338.91|25,546,460,956.02
购建固定资产、无形资产和其他长期资产支付的现金||71,199,734,337.76|78,380,253,917.22
投资支付的现金||10,322,083,097.19|5,063,064,180.35
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||1,263,838,598.50|528,659,942.31
支付其他与投资活动有关的现金|（八十三）|18,385,885,558.45|13,844,425,023.81
投资活动现金流出小计||101,171,541,591.90|97,816,403,063.69
投资活动产生的现金流量净额||-58,129,264,252.99|-72,269,942,107.67
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||41,196,803,494.04|50,109,370,331.83
其中：子公司吸收少数股东投资收到的现金||32,196,803,494.04|33,110,370,331.83
取得借款收到的现金||180,174,996,523.78|155,884,828,312.90
发行债券收到的现金||29,979,300,000.00|22,596,892,402.20
收到其他与筹资活动有关的现金|（八十三）|11,463,252,394.42|11,051,455,296.91
筹资活动现金流入小计||262,814,352,412.24|239,642,546,343.84
偿还债务支付的现金||180,733,696,929.28|161,642,467,027.40
分配股利、利润或偿付利息支付的||22,028,475,113.59|19,191,630,110.82
page|98
现金|||
其中：子公司支付给少数股东的股利、利润||3,362,068,722.57|2,104,885,934.81
支付其他与筹资活动有关的现金|（八十三）|29,688,581,081.87|17,461,690,789.25
筹资活动现金流出小计||232,450,753,124.74|198,295,787,927.47
筹资活动产生的现金流量净额||30,363,599,287.50|41,346,758,416.37
四、汇率变动对现金及现金等价物的影响||-1,708,395,329.67|788,335,064.48
五、现金及现金等价物净增加额|（八十四）|13,489,285,960.74|-20,641,693,487.78
加：期初现金及现金等价物余额|（八十四）|64,107,851,920.55|84,749,545,408.33
六、期末现金及现金等价物余额|（八十四）|77,597,137,881.29|64,107,851,920.55
