page|71
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,937,518,717.42|4,537,813,122.67
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金||151,697,840.51|111,281,024.77
经营活动现金流入小计||5,089,216,557.93|4,649,094,147.44
购买商品、接受劳务支付的现金||2,226,620,458.57|2,006,693,816.12
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,625,901,542.57|1,516,121,655.98
支付的各项税费||414,696,900.63|330,866,334.18
支付其他与经营活动有关的现金||429,942,388.93|391,202,448.63
经营活动现金流出小计||4,697,161,290.70|4,244,884,254.91
经营活动产生的现金流量净额||392,055,267.23|404,209,892.53
二、投资活动产生的现金流量：|||
收回投资收到的现金||7,000,000.00|1,167,100,000.00
取得投资收益收到的现金||23,462,986.03|10,346,125.86
处置固定资产、无形资产和其他长期资产收回的现金净额||275,521.99|786,006.99
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||30,738,508.02|1,178,232,132.85
购建固定资产、无形资产和其他长期资产支付的现金||31,879,593.21|69,224,812.55
投资支付的现金||133,251,910.00|1,154,808,549.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||50,174,650.21
支付其他与投资活动有关的现金|||
page|72
投资活动现金流出小计||165,131,503.21|1,274,208,011.76
投资活动产生的现金流量净额||-134,392,995.19|-95,975,878.91
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||5,503,800.00|14,813,883.83
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||473,232,574.19|382,000,000.00
收到其他与筹资活动有关的现金||5,866,944.00|3,191,018.82
筹资活动现金流入小计||484,603,318.19|400,004,902.65
偿还债务支付的现金||401,730,000.00|480,887,219.68
分配股利、利润或偿付利息支付的现金||160,969,347.90|136,522,321.71
其中：子公司支付给少数股东的股利、利润|||5,011,015.87
支付其他与筹资活动有关的现金||19,551,613.35|44,387,883.78
筹资活动现金流出小计||582,250,961.25|661,797,425.17
筹资活动产生的现金流量净额||-97,647,643.06|-261,792,522.52
四、汇率变动对现金及现金等价物的影响||-54,765.04|3,070.34
五、现金及现金等价物净增加额||159,959,863.94|46,444,561.44
加：期初现金及现金等价物余额||1,528,601,750.29|1,482,157,188.85
六、期末现金及现金等价物余额||1,688,561,614.23|1,528,601,750.29
