page|128
项目|附注|本年发生额|上年发生额(已重述)
一、营业收入|(五)42|57,658,110,065.22|49,837,132,481.61
减：营业成本|(五)42|31,140,176,777.12|27,483,469,555.24
税金及附加|(五)43|417,318,543.55|418,325,053.64
销售费用|(五)44|7,256,781,486.68|5,892,500,406.52
管理费用|(五)45|1,822,464,442.07|1,377,244,870.14
研发费用|(五)46|5,483,811,698.36|4,482,780,693.41
财务费用|(五)47|(640,068,177.19)|(424,263,559.64)
其中：利息费用||192,739,975.98|154,599,429.03
利息收入||699,779,882.35|444,987,461.93
加：其他收益|(五)48|1,892,323,306.29|2,083,997,067.37
投资收益|(五)49|36,649,237.09|51,929,640.63
其中：对联营企业和合营企业的投资收益(损失)||7,743,476.93|(9,072,889.02)
公允价值变动收益|(五)50|15,321,889.63|13,406,932.17
信用减值损失|(五)51|(222,009,426.18)|
资产减值损失|(五)52|(197,891,311.27)|(426,949,808.76)
资产处置收益||5,535,663.32|4,975,825.83
二、营业利润||13,707,554,653.51|12,334,435,119.54
加：营业外收入|(五)53|65,032,501.54|111,362,918.34
减：营业外支出|(五)54|17,124,407.28|8,593,484.58
三、利润总额||13,755,462,747.77|12,437,204,553.30
减：所得税费用|(五)55|1,290,278,445.12|1,056,739,998.82
四、净利润||12,465,184,302.65|11,380,464,554.48
(一)按持续经营性分类|||
1.  持续经营净利润||12,465,184,302.65|11,380,464,554.48
2.  终止经营净亏损||-|-
(二)按所有权归属分类|||
1.  少数股东损益||50,596,612.20|28,332,299.27
2.  归属于母公司所有者的净利润||12,414,587,690.45|11,352,132,255.21
五、其他综合收益的税后净额|(五)39|(4,658,993.77)|(24,062,992.06)
归属母公司所有者的其他综合收益的税后净额||(3,964,795.89)|(21,898,411.75)
(一)以后不能重分类进损益的其他综合收益||-|-
(二)以后将重分类进损益的其他综合收益||(3,964,795.89)|(21,898,411.75)
1.  外币财务报表折算差额||(3,964,795.89)|(21,898,411.75)
归属于少数股东的其他综合收益的税后净额||(694,197.88)|(2,164,580.31)
六、综合收益总额||12,460,525,308.88|11,356,401,562.42
归属于母公司所有者的综合收益总额||12,410,622,894.56|11,330,233,843.46
归属于少数股东的综合收益总额||49,902,414.32|26,167,718.96
七、每股收益|||
(一)基本每股收益|(十六)2|1.343|1.240
(二)稀释每股收益|(十六)2|1.343|1.234
