page|130
项目|附注|本年发生额|上年发生额 （已重述）
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||59,405,106,132.63|51,986,564,929.24
收到的税费返还||3,084,090,410.43|3,721,596,390.15
收到其他与经营活动有关的现金|(五)56(1)|1,989,547,720.88|1,623,989,773.06
经营活动现金流入小计||64,478,744,263.94|57,332,151,092.45
购买商品、接受劳务支付的现金||37,422,764,103.72|32,254,846,787.67
支付给职工以及为职工支付的现金||8,934,696,624.52|7,091,469,370.06
支付的各项税费||5,192,433,698.75|4,362,695,466.89
支付其他与经营活动有关的现金|(五)56(2)|5,161,129,665.81|4,509,853,440.07
经营活动现金流出小计||56,711,024,092.80|48,218,865,064.69
经营活动产生的现金流量净额|(五)57(1)|7,767,720,171.14|9,113,286,027.76
二、投资活动产生的现金流量：|||
收回投资收到的现金||548,141,227.41|10,684,968,183.97
取得投资收益收到的现金||17,355,010.13|101,672,000.39
处置固定资产、无形资产和其他长期资产收回的现金净额||85,339,813.21|17,971,830.99
收到其他与投资活动有关的现金|(五)56(3)|17,234,624.45|89,505,228.62
投资活动现金流入小计||668,070,675.20|10,894,117,243.97
取得子公司及其他营业单位支付的现金净额||16,095,782.07|-
购建固定资产、无形资产和其他长期资产支付的现金||1,927,278,918.86|2,055,859,307.21
投资支付的现金||644,715,663.25|7,367,537,654.71
支付其他与投资活动有关的现金|(五)56(4)|2,968,783.82|20,000,000.00
投资活动现金流出小计||2,591,059,148.00|9,443,396,961.92
投资活动产生的现金流量净额||(1,922,988,472.80)|1,450,720,282.05
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||123,530,000.00|97,509,000.00
其中：子公司吸收少数股东投资收到的现金||123,530,000.00|97,509,000.00
取得借款收到的现金||9,492,281,861.82|10,346,144,732.55
收到其他与筹资活动有关的现金|(五)56(5)|-|2,057,898,876.84
筹资活动现金流入小计||9,615,811,861.82|12,501,552,609.39
偿还债务支付的现金||9,305,661,321.88|8,590,620,738.17
分配股利、利润或偿付利息支付的现金||5,754,605,713.66|4,701,738,534.32
其中：子公司支付给少数股东的股利、利润||2,100,000.00|-
支付其他与筹资活动有关的现金|(五)56(6)|26,897,116.20|6,555,746.33
筹资活动现金流出小计||15,087,164,151.74|13,298,915,018.82
筹资活动产生的现金流量净额||(5,471,352,289.92)|(797,362,409.43)
四、汇率变动对现金及现金等价物的影响额||111,276,866.09|235,182,564.34
五、现金及现金等价物净增加额|(五)57(1)|484,656,274.51|10,001,826,464.72
加：年初现金及现金等价物余额|(五)57(1)|26,031,011,733.89|16,029,185,269.17
六、年末现金及现金等价物余额|(五)57(3)|26,515,668,008.40|26,031,011,733.89
