page|113
|2019 年 12 月 31 日合并及公司资产负债表||||
||（除特别注明外，金额单位为人民币百万元）|||
||2019 年|2018 年|2019 年|2018 年
||12 月 31 日|12 月 31 日|12 月 31 日|12 月 31 日
资产|附注|合并|合并|公司|公司
流动资产|||||
货币资金|7|110,665|95,489|6,636|15,309
应收账款|8|64,184|59,522|10,072|10,174
应收款项融资|9|7,016|16,308|2,538|8,160
预付款项|10|17,038|17,554|6,980|6,267
其他应收款|11|21,199|17,415|8,997|14,316
存货|12|181,921|177,577|117,757|114,952
其他流动资产||64,890|54,376|47,565|46,082
流动资产合计||466,913|438,241|200,545|215,260
非流动资产|||||
其他权益工具投资|13|930|760|437|390
长期股权投资|14|102,165|89,432|402,584|388,818
固定资产|15|703,414|689,306|347,649|337,629
油气资产|16|831,814|800,475|599,230|557,121
在建工程|17|247,996|219,623|158,823|151,366
使用权资产|56|189,632|-|107,852|-
无形资产|18|84,832|77,272|64,530|58,890
商誉|19|42,808|42,273|-|-
长期待摊费用|20|10,258|28,529|8,198|22,761
递延所得税资产|33|24,259|23,498|14,725|17,910
其他非流动资产||28,169|31,760|10,571|7,884
非流动资产合计||2,266,277|2,002,928|1,714,599|1,542,769
资产总计||2,733,190|2,441,169|1,915,144|1,758,029
page|114
|2019 年 12 月 31 日合并及公司资产负债表（续）||||
||（除特别注明外，金额单位为人民币百万元）|||
||2019 年|2018 年|2019 年|2018 年
||12 月 31 日|12 月 31 日|12 月 31 日|12 月 31 日
负债及股东权益|附注|合并|合并|公司|公司
流动负债|||||
短期借款|22|70,497|69,780|66,027|61,873
应付票据|23|13,153|8,127|12,046|6,428
应付账款|24|260,102|246,671|102,780|115,045
合同负债|25|82,490|68,144|54,014|47,184
应付职工薪酬|26|10,169|10,189|7,931|7,906
应交税费|27|67,382|83,288|42,779|58,734
其他应付款|28|34,699|33,922|60,291|43,862
一年内到期的非流动负债|29|92,879|75,370|36,799|63,028
其他流动负债||30,048|939|25,882|217
流动负债合计||661,419|596,430|408,549|404,277
非流动负债|||||
长期借款|30|174,411|177,605|110,717|72,166
应付债券|31|116,471|91,817|113,000|85,000
租赁负债|56|164,143|-|85,449|-
预计负债|32|137,935|132,780|95,643|92,017
递延所得税负债|33|21,418|17,022|-|-
其他非流动负债||12,815|16,339|6,511|8,489
非流动负债合计||627,193|435,563|411,320|257,672
负债合计||1,288,612|1,031,993|819,869|661,949
股东权益|||||
股本|34|183,021|183,021|183,021|183,021
资本公积|35|127,314|129,199|127,845|127,859
专项储备||12,443|13,831|6,513|7,373
其他综合收益|53|(27,756)|(32,397)|979|505
盈余公积|36|197,282|194,245|186,190|183,153
未分配利润|37|738,124|726,168|590,727|594,169
归属于母公司股东权益合计||1,230,428|1,214,067|1,095,275|1,096,080
少数股东权益|38|214,150|195,109|-|-
股东权益合计||1,444,578|1,409,176|1,095,275|1,096,080
负债及股东权益总计||2,733,190|2,441,169|1,915,144|1,758,029
page|115
|2019 年度合并及公司利润表||||
|（除特别注明外，金额单位为人民币百万元）||||
||2019 年|2018 年|2019 年|2018 年
项目|附注|合并|合并|公司|公司
营业收入|39|2,516,810|2,374,934|1,363,878|1,355,264
减：营业成本|39|(2,002,403)|(1,839,562)|(1,053,994)|(1,020,294)
税金及附加|40|(226,905)|(219,291)|(174,410)|(170,009)
销售费用|41|(74,108)|(69,083)|(50,879)|(48,416)
管理费用|42|(61,757)|(68,148)|(38,053)|(42,502)
研发费用|43|(15,666)|(12,826)|(11,635)|(9,904)
财务费用|44|(27,816)|(18,879)|(20,791)|(16,233)
其中：利息费用||30,409|22,718|20,834|16,985
利息收入||3,631|3,779|666|1,299
加：其他收益|45|11,267|10,855|8,392|7,745
投资收益|46|8,867|11,956|26,616|35,467
其中：对联营企业和合营企业的投资收益||8,229|11,647|4,108|6,367
信用减值损失|47|1,378|494|1,461|1,055
资产减值损失|48|(14,712)|(34,741)|(7,267)|(9,815)
资产处置收益|49|565|673|589|481
营业利润||115,520|136,382|43,907|82,839
加：营业外收入|50(a)|4,971|3,218|4,242|2,701
减：营业外支出|50(b)|(17,278)|(22,836)|(11,845)|(14,724)
利润总额||103,213|116,764|36,304|70,816
减：所得税费用|51|(36,203)|(42,790)|(5,938)|(16,056)
净利润||67,010|73,974|30,366|54,760
按经营持续性分类：|||||
持续经营净利润||67,010|73,974|30,366|54,760
终止经营净利润||-|-|-|-
按所有权归属分类：|||||
归属于母公司股东的净利润||45,677|53,030|30,366|54,760
少数股东损益||21,333|20,944|-|-
其他综合收益的税后净额||8,930|(2,648)|474|153
归属于母公司股东的其他综合收益的税后净额||4,641|(4,964)|474|153
