page|137
项目|附注|本年发生额|上年发生额
一、营业收入|(五)43|63,503,450,891.78|57,658,110,065.22
减：营业成本|(五)43|33,957,697,857.73|31,140,176,777.12
税金及附加|(五)44|416,263,349.55|417,318,543.55
销售费用|(五)45|7,377,790,744.58|7,256,781,486.68
管理费用|(五)46|1,790,013,088.76|1,822,464,442.07
研发费用|(五)47|6,378,651,762.42|5,483,811,698.36
财务费用|(五)48|396,254,772.56|(640,068,177.19)
其中：利息费用||202,415,502.10|192,739,975.98
利息收入||719,662,082.74|699,779,882.35
加：其他收益|(五)49|2,303,581,705.81|1,892,323,306.29
投资收益|(五)50|169,277,048.95|36,649,237.09
其中：对联营企业和合营企业的投资收益||6,361,388.74|7,743,476.93
公允价值变动收益|(五)51|85,458,209.54|15,321,889.63
信用减值损失|(五)52|(185,940,325.74)|(222,009,426.18)
资产减值损失|(五)53|(363,109,513.99)|(197,891,311.27)
资产处置收益||628,505.02|5,535,663.32
二、营业利润||15,196,674,945.77|13,707,554,653.51
加：营业外收入|(五)54|99,273,303.50|65,032,501.54
减：营业外支出|(五)55|22,976,971.41|17,124,407.28
三、利润总额||15,272,971,277.86|13,755,462,747.77
减：所得税费用|(五)56|1,594,651,805.69|1,290,278,445.12
四、净利润||13,678,319,472.17|12,465,184,302.65
(一)按持续经营性分类|||
1.  持续经营净利润||13,678,319,472.17|12,465,184,302.65
2.  终止经营净亏损||-|-
(二)按所有权归属分类|||
1.  少数股东损益||292,792,758.02|50,596,612.20
2.  归属于母公司所有者的净利润||13,385,526,714.15|12,414,587,690.45
五、其他综合收益的税后净额|(五)40|(34,145,243.17)|(4,658,993.77)
归属母公司所有者的其他综合收益的税后净额||(31,452,779.95)|(3,964,795.89)
(一)以后不能重分类进损益的其他综合收益||-|-
(二)以后将重分类进损益的其他综合收益||(31,452,779.95)|(3,964,795.89)
1.  外币财务报表折算差额||(31,452,779.95)|(3,964,795.89)
归属于少数股东的其他综合收益的税后净额||(2,692,463.22)|(694,197.88)
六、综合收益总额||13,644,174,229.00|12,460,525,308.88
归属于母公司所有者的综合收益总额||13,354,073,934.20|12,410,622,894.56
归属于少数股东的综合收益总额||290,100,294.80|49,902,414.32
七、每股收益|||
(一)基本每股收益|(十六)2|1.445|1.343
(二)稀释每股收益|(十六)2|1.444|1.343
