page|139
项目|附注|本年发生额|上年发生额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||68,169,017,614.45|59,405,106,132.63
收到的税费返还||3,274,552,890.75|3,084,090,410.43
收到其他与经营活动有关的现金|(五)57(1)|1,427,590,353.65|1,989,547,720.88
经营活动现金流入小计||72,871,160,858.85|64,478,744,263.94
购买商品、接受劳务支付的现金||37,257,220,824.09|37,422,764,103.72
支付给职工以及为职工支付的现金||10,247,824,582.96|8,934,696,624.52
支付的各项税费||4,901,863,280.18|5,192,433,698.75
支付其他与经营活动有关的现金|(五)57(2)|4,376,095,604.95|5,161,129,665.81
经营活动现金流出小计||56,783,004,292.18|56,711,024,092.80
经营活动产生的现金流量净额|(五)58(1)|16,088,156,566.67|7,767,720,171.14
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,693,378,691.26|548,141,227.41
取得投资收益收到的现金||150,000,000.00|17,355,010.13
处置固定资产、无形资产和其他长期资产收回的现金 净额||14,793,178.49|85,339,813.21
收到其他与投资活动有关的现金|(五)57(3)|46,196,873.80|17,234,624.45
投资活动现金流入小计||1,904,368,743.55|668,070,675.20
取得子公司及其他营业单位支付的现金净额|(五)58(2)|48,918,168.58|16,095,782.07
购建固定资产、无形资产和其他长期资产支付的现金||2,003,628,270.01|1,927,278,918.86
投资支付的现金||2,405,456,262.23|644,715,663.25
支付其他与投资活动有关的现金|(五)57(4)|1,000,000.00|2,968,783.82
投资活动现金流出小计||4,459,002,700.82|2,591,059,148.00
投资活动产生的现金流量净额||(2,554,633,957.27)|(1,922,988,472.80)
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||173,897,986.67|123,530,000.00
其中：子公司吸收少数股东投资收到的现金||173,897,986.67|123,530,000.00
取得借款收到的现金||5,883,973,583.25|9,492,281,861.82
发行债券和短期融资券收到的现金||999,500,000.00|-
筹资活动现金流入小计||7,057,371,569.92|9,615,811,861.82
偿还债务支付的现金||4,834,813,277.12|9,305,661,321.88
分配股利、利润或偿付利息支付的现金||6,704,954,160.69|5,754,605,713.66
其中：子公司支付给少数股东的股利、利润||40,000,000.00|2,100,000.00
支付其他与筹资活动有关的现金|(五)57(5)|77,707,417.35|26,897,116.20
筹资活动现金流出小计||11,617,474,855.16|15,087,164,151.74
筹资活动产生的现金流量净额||(4,560,103,285.24)|(5,471,352,289.92)
四、汇率变动对现金及现金等价物的影响额||(464,249,454.25)|111,276,866.09
五、现金及现金等价物净增加额|(五)58(1)|8,509,169,869.91|484,656,274.51
加：年初现金及现金等价物余额|(五)58(1)|26,515,668,008.40|26,031,011,733.89
六、年末现金及现金等价物余额|(五)58(3)|35,024,837,878.31|26,515,668,008.40
