page|101
资产|附注五|期末余额|上年年末余额
流动资产：|||
货币资金|（一）|7,494,030,376.80|4,804,273,763.15
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|（二）|914,982,034.48|146,877,450.57
应收票据|（三）|27,318,122.42|22,925,567.71
应收账款|（四）|2,926,805,378.96|1,833,485,110.65
应收款项融资|||
预付款项|（五）|81,875,713.43|2,357,527,931.28
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|（六）|153,604,219.20|432,814,112.76
买入返售金融资产|||
存货|（七）|2,367,355,677.16|2,263,312,362.14
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|（八）|121,833,737.72|142,365,141.95
流动资产合计||14,087,805,260.17|12,003,581,440.21
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|（九）|775,408,443.10|916,105,705.36
其他权益工具投资|（十）|234,700,157.64|265,800,947.64
其他非流动金融资产|||
投资性房地产|（十一）|567,873,382.00|579,084,370.00
固定资产|（十二）|3,351,180,275.68|2,719,405,217.99
在建工程|（十三）|1,654,119,394.67|1,059,480,393.15
生产性生物资产|||
油气资产|||
无形资产|（十四）|602,580,486.11|565,497,772.28
开发支出|||
商誉|（十五）|10,313,565.41|10,313,565.41
长期待摊费用|（十六）|143,394,723.93|172,073,760.08
递延所得税资产|（十七）|162,629,160.46|59,177,179.19
其他非流动资产|（十八）|44,621,977.71|102,840,097.19
非流动资产合计||7,546,821,566.71|6,449,779,008.29
资产总计||21,634,626,826.88|18,453,360,448.50
page|102
负债和所有者权益|附注五|期末余额|上年年末余额
流动负债：|||
短期借款|（十九）|7,775,268,255.36|8,253,636,901.60
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|（二十）|606,883,722.15|103,243,733.73
应付票据|||
应付账款|（二十一）|2,182,060,280.07|2,119,630,803.22
预收款项|（二十二）|11,501,323.32|22,014,941.91
合同负债|（二十三）|27,556,941.58|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|（二十四）|305,712,350.95|269,540,114.31
应交税费|（二十五）|257,758,609.09|219,195,008.55
其他应付款|（二十六）|207,153,105.49|129,452,609.44
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|（二十七）|24,963,771.62|21,265,395.95
流动负债合计||11,398,858,359.63|11,137,979,508.71
非流动负债：|||
保险合同准备金|||
长期借款|（二十八）|1,850,000,000.00|
应付债券|||
其中：优先股|||
永续债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|（二十九）|8,818,792.10|4,290,474.07
递延收益|（三十）|68,225,390.62|70,574,313.70
递延所得税负债|（十七）|298,748,854.93|138,406,474.34
其他非流动负债|||
非流动负债合计||2,225,793,037.65|213,271,262.11
负债合计||13,624,651,397.28|11,351,250,770.82
所有者权益：|||
股本|（三十一）|1,471,259,363.00|1,471,259,363.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|（三十二）|774,981,128.87|774,981,128.87
减：库存股|||
其他综合收益|（三十三）|142,039,021.46|284,713,462.08
专项储备|||
盈余公积|（三十四）|1,110,435,434.85|1,110,435,434.85
一般风险准备|||
未分配利润|（三十五）|4,086,218,676.08|3,281,258,520.59
归属于母公司所有者权益合计||7,584,933,624.26|6,922,647,909.39
少数股东权益||425,041,805.34|179,461,768.29
所有者权益合计||8,009,975,429.60|7,102,109,677.68
负债和所有者权益总计||21,634,626,826.88|18,453,360,448.50
