page|107
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||15,055,578,927.66|11,734,051,218.67
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||287,316,882.24|99,714,636.18
收到其他与经营活动有关的现金|（五十二）|263,994,507.94|244,802,569.35
经营活动现金流入小计||15,606,890,317.84|12,078,568,424.20
购买商品、接受劳务支付的现金||9,673,003,016.07|10,390,054,989.81
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||2,276,395,053.04|2,149,599,924.96
支付的各项税费||321,175,980.01|287,333,452.85
支付其他与经营活动有关的现金|（五十二）|213,840,248.85|251,746,903.23
经营活动现金流出小计||12,484,414,297.97|13,078,735,270.85
经营活动产生的现金流量净额|（五十三）|3,122,476,019.87|-1,000,166,846.65
二、投资活动产生的现金流量|||
收回投资收到的现金||175,159,435.89|5,746,200.00
取得投资收益收到的现金||206,742,830.80|17,969,480.19
处置固定资产、无形资产和其他长期资产收回的现金净额||17,853,166.21|8,890,456.62
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||399,755,432.90|32,606,136.81
购建固定资产、无形资产和其他长期资产支付的现金||1,942,442,456.73|1,041,266,890.97
投资支付的现金||32,500,000.00|530,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（五十二）||114,947,319.60
投资活动现金流出小计||1,974,942,456.73|1,156,744,210.57
投资活动产生的现金流量净额||-1,575,187,023.83|-1,124,138,073.76
三、筹资活动产生的现金流量|||
吸收投资收到的现金||176,480,000.00|3,489,520.00
其中：子公司吸收少数股东投资收到的现金||176,480,000.00|3,489,520.00
取得借款收到的现金||27,181,439,026.13|15,696,821,419.29
收到其他与筹资活动有关的现金|（五十二）|2,848,492,400.08|3,473,259,154.70
筹资活动现金流入小计||30,206,411,426.21|19,173,570,093.99
偿还债务支付的现金||25,704,161,775.80|14,628,915,179.09
分配股利、利润或偿付利息支付的现金||270,986,510.21|358,965,979.93
其中：子公司支付给少数股东的股利、利润||27,000,000.00|
支付其他与筹资活动有关的现金|（五十二）|5,675,311,367.45|2,577,842,793.27
筹资活动现金流出小计||31,650,459,653.46|17,565,723,952.29
筹资活动产生的现金流量净额||-1,444,048,227.25|1,607,846,141.70
四、汇率变动对现金及现金等价物的影响||-87,271,782.38|125,748,294.60
五、现金及现金等价物净增加额||15,968,986.41|-390,710,484.11
加：期初现金及现金等价物余额||1,417,962,114.28|1,808,672,598.39
六、期末现金及现金等价物余额||1,433,931,100.69|1,417,962,114.28
