page|105
项目|附注五|本期金额|上期金额
一、营业总收入||14,967,234,846.43|13,223,818,815.08
其中：营业收入|（三十六）|14,967,234,846.43|13,223,818,815.08
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||14,436,742,688.43|12,558,806,980.14
其中：营业成本|（三十六）|13,271,458,293.82|11,963,553,425.06
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（三十七）|83,365,441.31|60,904,801.15
销售费用|（三十八）|82,425,127.05|61,296,144.19
管理费用|（三十九）|473,768,439.90|439,039,442.40
研发费用|（四十）|255,116,919.67|208,160,094.38
财务费用|（四十一）|270,608,466.68|-174,146,927.04
其中：利息费用||131,723,874.37|208,219,674.17
利息收入||113,948,160.03|119,235,579.54
加：其他收益|（四十二）|128,751,293.31|97,868,482.93
投资收益（损失以“-”号填列）|（四十三）|259,383,871.64|-55,117,541.78
其中：对联营企业和合营企业的投资收益||-260,312.58|-76,186,061.11
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|（四十四）|253,253,607.49|-130,287,416.78
信用减值损失（损失以“-”号填列）|（四十五）|-20,508,136.46|-14,092,231.27
资产减值损失（损失以“-”号填列）|（四十六）|-31,358,192.77|-14,308,956.37
资产处置收益（损失以“-”号填列）|（四十七）|1,547,943.82|-2,676,054.12
三、营业利润（亏损以“-”号填列）||1,121,562,545.03|546,398,117.55
加：营业外收入|（四十八）|3,895,509.68|1,449,026.28
减：营业外支出|（四十九）|5,571,105.62|1,253,030.57
四、利润总额（亏损总额以“-”号填列）||1,119,886,949.09|546,594,113.26
减：所得税费用|（五十）|166,799,309.35|104,735,598.90
五、净利润（净亏损以“-”号填列）||953,087,639.74|441,858,514.36
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||953,087,639.74|441,858,514.36
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||857,132,642.21|352,301,166.89
2．少数股东损益（净亏损以“-”号填列）||95,954,997.53|89,557,347.47
六、其他综合收益的税后净额||-106,426,326.04|48,374,161.75
归属于母公司所有者的其他综合收益的税后净额||-106,571,365.56|48,374,161.75
（一）不能重分类进损益的其他综合收益||-30,934,294.47|54,046,360.24
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益|||
3．其他权益工具投资公允价值变动||-30,934,294.47|54,046,360.24
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||-75,637,071.09|-5,672,198.49
1．权益法下可转损益的其他综合收益||-29,674,727.49|-1,621,606.77
2．其他债权投资公允价值变动|||
3．金融资产重分类计入其他综合收益的金额|||
4．其他债权投资信用减值准备|||
5．现金流量套期储备|||
6．外币财务报表折算差额||-45,962,343.60|-4,050,591.72
7．其他|||
归属于少数股东的其他综合收益的税后净额||145,039.52|
七、综合收益总额||846,661,313.70|490,232,676.11
归属于母公司所有者的综合收益总额||750,561,276.65|400,675,328.64
归属于少数股东的综合收益总额||96,100,037.05|89,557,347.47
八、每股收益：|||
（一）基本每股收益（元/股）||0.5826|0.2395
（二）稀释每股收益（元/股）||0.5826|0.2395
