page|62
项目|附 注|2019年度|2018年度
一、经营活动产生的现金流量：|||
page|63
销售商品、提供劳务收到的现金|||10,691,918,819.03  10,080,304,387.60
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||761,997.25
收到其他与经营活动有关的现金||183,027,512.59|241,935,963.65
经营活动现金流入小计|||10,874,946,331.62  10,323,002,348.50
购买商品、接受劳务支付的现金||2,669,805,704.93|2,259,216,606.77
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||2,447,887,041.31|2,175,517,916.33
支付的各项税费||1,688,115,085.45|1,992,949,163.75
支付其他与经营活动有关的现金||635,241,327.59|520,385,108.59
经营活动现金流出小计||7,441,049,159.28|6,948,068,795.44
经营活动产生的现金流量净额||3,433,897,172.34|3,374,933,553.06
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||3,774,171.00|11,414,692.32
处置固定资产、无形资产和其他长期资产收回的现金净额||675,777,707.00|0.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||679,551,878.00|11,414,692.32
购建固定资产、无形资产和其他长期资产支付的现金||919,377,134.81|483,750,357.10
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||919,377,134.81|483,750,357.10
page|64
投资活动产生的现金流量净额||-239,825,256.81|-472,335,664.78
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||6,887,500,000.00  11,768,082,300.00
收到其他与筹资活动有关的现金||510,421,981.11|386,312,100.00
筹资活动现金流入小计|||7,397,921,981.11  12,154,394,400.00
偿还债务支付的现金|||9,216,681,667.26  12,097,764,382.64
分配股利、利润或偿付利息支付的现金||1,065,675,480.43|1,008,539,466.34
其中：子公司支付给少数股东的股利、利润||146,925,450.00|67,500,000.00
支付其他与筹资活动有关的现金||218,057,132.54|2,080,595,660.20
筹资活动现金流出小计|||10,500,414,280.23  15,186,899,509.18
筹资活动产生的现金流量净额|||-3,102,492,299.12  -3,032,505,109.18
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||91,579,616.41|-129,907,220.90
加：期初现金及现金等价物余额||385,532,909.91|515,440,130.81
六、期末现金及现金等价物余额||477,112,526.32|385,532,909.91
