page|83
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||12,974,463,884.78|11,052,588,212.53
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||4,562,187.19|5,746,288.15
收到其他与经营活动有关的现金||372,140,834.04|329,623,780.38
经营活动现金流入小计||13,351,166,906.01|11,387,958,281.06
购买商品、接受劳务支付的现金||9,779,028,118.85|8,522,021,542.30
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
page|84
支付给职工及为职工支付的现金||1,605,667,246.80|1,968,318,813.34
支付的各项税费||715,997,034.04|616,674,513.52
支付其他与经营活动有关的现金||1,412,911,887.79|1,009,097,669.53
经营活动现金流出小计||13,513,604,287.48|12,116,112,538.69
经营活动产生的现金流量净额||-162,437,381.47|-728,154,257.63
二、投资活动产生的现金流量：|||
收回投资收到的现金||0.00|987,322.36
取得投资收益收到的现金||848,829.27|849,908.09
处置固定资产、无形资产和其他长期资产收回的现金净额||177,462,925.54|15,185,715.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||0.00|21,799.70
投资活动现金流入小计||178,311,754.81|17,044,745.15
购建固定资产、无形资产和其他长期资产支付的现金||76,696,330.24|118,210,780.58
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||10,000,000.00|0.00
投资活动现金流出小计||86,696,330.24|118,210,780.58
投资活动产生的现金流量净额||91,615,424.57|-101,166,035.43
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||15,532,560.00|0.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,856,887,708.34|1,610,960,864.75
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||1,872,420,268.34|1,610,960,864.75
偿还债务支付的现金||1,173,571,624.33|525,448,463.53
分配股利、利润或偿付利息支付的现金||61,546,779.54|24,098,057.72
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||244,036,869.31|0.00
筹资活动现金流出小计||1,479,155,273.18|549,546,521.25
筹资活动产生的现金流量净额||393,264,995.16|1,061,414,343.50
四、汇率变动对现金及现金等价物的影响||-2,905,179.62|-872,508.08
五、现金及现金等价物净增加额||319,537,858.64|231,221,542.36
加：期初现金及现金等价物余额||871,919,333.32|640,697,790.96
六、期末现金及现金等价物余额||1,191,457,191.96|871,919,333.32
