page|111
项目|附注七|2019 年度|2018 年度
一、营业总收入||2,907,667,567.52|2,755,098,098.64
手续费及佣金净收入|54|1,559,304,028.96|1,639,364,090.39
其中：经纪业务手续费净收入||601,033,144.51|515,919,896.16
投资银行业务手续费净收入||217,175,620.13|202,977,302.94
资产管理业务手续费净收入||731,338,068.49|917,216,447.76
利息净收入|53|830,187,584.52|682,047,466.68
其中：利息收入||1,684,533,527.52|1,634,921,163.79
利息支出||854,345,943.00|952,873,697.11
投资收益（损失以“-”号填列）|55|343,113,805.05|282,107,790.84
其他收益|57|93,593,962.60|58,267,599.18
公允价值变动收益（损失以“-”号填列）|58|77,655,053.93|87,033,987.10
汇兑收益（损失以“-”号填列）||1,642,481.81|3,230,267.17
其他业务收入|59|2,145,414.85|3,119,923.74
资产处置收益（损失以“－”号填列）|60|25,235.80|-73,026.46
二、营业总支出||1,908,697,781.16|1,843,418,077.86
税金及附加|61|17,213,312.38|18,345,130.65
业务及管理费|62|1,828,816,648.16|1,623,919,505.01
资产减值损失|63|-|197,384,730.57
其他资产减值损失|63|2,048,333.33|-
信用减值损失|64|58,554,968.79|-
其他业务成本|65|2,064,518.50|3,768,711.63
三、营业利润（亏损以“-”号填列）||998,969,786.36|911,680,020.78
加：营业外收入|66|16,945,469.43|160,547.37
减：营业外支出|67|507,050.34|439,211.93
四、利润总额（亏损总额以“-”号填列）||1,015,408,205.45|911,401,356.22
减：所得税费用|68|215,346,404.65|204,976,575.39
五、净利润（净亏损以“－”号填列）||800,061,800.80|706,424,780.83
1.归属于母公司股东的净利润（净亏损以“-”号填列）||798,252,971.86|704,986,351.02
2.少数股东损益（净亏损以“-”号填列）||1,808,828.94|1,438,429.81
六、其他综合收益的税后净额|69|(971,397.76)|(34,149,828.62)
归属母公司所有者的其他综合收益的税后净额||(971,397.76)|(34,149,828.62)
（一）不能重分类进损益的其他综合收益||-|-
（二）将重分类进损益的其他综合收益||(971,397.76)|(34,149,828.62)
1.其他债权投资公允价值变动||(974,144.39)|-
2.其他债权投资信用损失准备||2,746.63|-
3.可供出售金融资产公允价值变动|||(34,149,828.62)
归属于少数股东的其他综合收益的税后净额||-|-
七、综合收益总额||799,090,403.04|672,274,952.21
归属于母公司所有者的综合收益总||797,281,574.10|670,836,522.40
page|112
额|||
归属于少数股东的综合收益总额||1,808,828.94|1,438,429.81
八、每股收益：|77||
（一）基本每股收益(元/股)||0.32|0.28
（二）稀释每股收益(元/股)||0.32|0.28
