page|113
项目|附注十九|2019 年度|2018 年度
一、营业总收入||2,726,432,362.26|2,608,198,080.73
手续费及佣金净收入|4|1,509,203,731.66|1,575,404,426.47
其中：经纪业务手续费净收入||570,334,167.99|468,105,018.50
投资银行业务手续费净收入||217,175,620.13|202,977,302.94
资产管理业务手续费净收入||714,903,414.38|902,607,876.60
利息净收入|3|722,986,346.91|622,841,730.44
其中：利息收入||1,383,219,894.13|1,499,941,163.51
利息支出||660,233,547.22|877,099,433.07
投资收益（损失以“－”号填列）|5|310,336,900.63|272,882,093.75
其他收益||82,320,277.60|45,657,024.66
公允价值变动收益（损失以“－”号填列）|6|98,688,618.26|87,033,987.10
汇兑收益（损失以“－”号填列）||1,642,481.81|3,230,267.17
其他业务收入||1,228,064.59|1,221,577.60
资产处置收益（损失以“－”号填列）||25,940.80|-73,026.46
二、营业总支出||1,807,742,734.58|1,750,264,433.84
税金及附加||16,984,272.85|17,915,065.18
业务及管理费|7|1,750,899,159.66|1,547,100,698.03
资产减值损失||-|185,248,670.63
其他资产减值损失||2,048,333.33|-
信用减值损失||37,810,968.74|-
三、营业利润（亏损以“－”号填列）||918,689,627.68|857,933,646.89
加：营业外收入||16,945,302.12|160,547.37
减：营业外支出||489,561.72|404,813.40
四、利润总额（亏损总额以“－”号填列）||935,145,368.08|857,689,380.86
减：所得税费用||197,718,042.85|192,240,258.20
五、净利润（净亏损以“－”号填列）||737,427,325.23|665,449,122.66
六、其他综合收益的税后净额||(971,397.76)|10,558,526.68
（一）不能重分类进损益的其他综合收益||-|-
（二）将重分类进损益的其他综合收益||(971,397.76)|10,558,526.68
1.其他债权投资公允价值变动||(974,144.39)|-
2.可供出售金融资产公允价值变动损益||-|10,558,526.68
3.其他债权投资信用损失准备||2,746.63|-
七、综合收益总额||736,455,927.47|676,007,649.34
page|114
项目|附注七|2019年度|2018年度
一、经营活动产生的现金流量：|||
为交易目的而持有的金融负债净增加额||6,481,261.18|-
为交易目的而持有的金融资产净减少额||399,324,925.86|-
以公允价值计量且其变动计入当期损益的金融资产净减少额||-|10,852,881.39
融出资金净减少额||-|2,397,765,369.16
收取利息、手续费及佣金的现金||3,931,780,840.47|3,817,512,251.85
拆入资金净增加额||300,000,000.00|-
回购业务资金净增加额||5,687,325,598.51|-
代理买卖证券收到的现金净额||4,683,269,350.66|-
收到其他与经营活动有关的现金|70(1)|404,143,625.64|3,099,430,694.53
经营活动现金流入小计||15,412,325,602.32|9,325,561,196.93
以公允价值计量且其变动计入当期损益的金融负债净减少额||-|58,602,869.41
融出资金净增加额||2,214,803,769.25|-
回购业务资金净减少额||-|3,325,051,770.17
拆入资金净减少额||-|200,000,000.00
代理买卖证券客户资金净减少额||-|1,589,281,661.53
支付利息、手续费及佣金的现金||857,714,490.86|624,213,226.51
支付给职工及为职工支付的现金||892,783,548.32|901,821,845.06
支付的各项税费||441,591,978.04|551,439,423.29
支付其他与经营活动有关的现金|70(2)|676,306,408.32|1,102,408,750.77
经营活动现金流出小计||5,083,200,194.79|8,352,819,546.74
经营活动产生的现金流量净额||10,329,125,407.53|972,741,650.19
二、投资活动产生的现金流量：|||
收回投资收到的现金||13,515,221,808.62|8,736,563,616.32
取得投资收益收到的现金||173,976,685.27|99,196,597.24
处置固定资产、无形资产和其他长期资产收回的现金净额||253,435.18|5,384,740.81
投资活动现金流入小计|71(3)|13,689,451,929.07|8,841,144,954.37
投资支付的现金||13,358,382,891.10|12,332,478,549.46
购建固定资产、无形资产和其他长期资产支付的现金||89,189,382.60|49,374,153.24
投资活动现金流出小计|70(4)|13,447,572,273.70|12,381,852,702.70
投资活动产生的现金流量净额||241,879,655.37|-3,540,707,748.33
三、筹资活动产生的现金流量：|||
发行债券收到的现金||13,080,620,000.00|21,850,990,000.00
收到结构化主体优先级持有人款项||-|2,487,000,200.00
筹资活动现金流入小计|70(5)|13,080,620,000.00|24,337,990,200.00
偿还债务支付的现金||17,840,680,000.00|19,993,200,000.00
分配股利、利润或偿付利息支付的现金||688,802,101.93|773,149,828.49
支付结构化主体优先级持有人款项||115,721,752.00|684,661,183.00
支付其他与筹资活动有关的现金|70(6)|8,600,000.00|-
筹资活动现金流出小计||18,653,803,853.93|21,451,011,011.49
page|115
筹资活动产生的现金流量净额||(5,573,183,853.93)|2,886,979,188.51
四、汇率变动对现金及现金等价物的影响||10,924,714.91|7,429,276.96
五、现金及现金等价物净增加额||5,008,745,923.88|326,442,367.33
加：期初现金及现金等价物余额||15,464,385,420.75|15,137,943,053.42
六、期末现金及现金等价物余额||20,473,131,344.63|15,464,385,420.75
