page|132
2021 年度|||
|(除另有标明外，所有金额均以人民币百万元列示)||
本集团|附注|2021 年度|2020 年度
一、营业收入||269,390|246,200
利息收入|四、36|377,646|369,101
利息支出|四、36|(215,953)|(215,765)
利息净收入|四、36|161,693|153,336
手续费及佣金收入|四、37|52,285|49,298
手续费及佣金支出|四、37|(4,712)|(4,212)
手续费及佣金净收入|四、37|47,573|45,086
投资收益/(损失)|四、38|18,858|13,255
其中：对联营及合营企业的投|||
资收益||277|222
以摊余成本计量的金融|||
资产终止确认产生的|||
净收益||46|27
公允价值变动收益/(损失)|四、39|3,718|1,068
汇兑及汇率产品净收益/(损失)|四、40|2,539|1,100
保险业务收入|四、41|16,515|15,170
其他业务收入|四、42|17,502|16,460
资产处置收益||454|166
其他收益||538|559
二、营业支出||(175,637)|(159,987)
税金及附加|四、43|(3,001)|(2,823)
业务及管理费|四、44|(74,545)|(66,004)
信用减值损失|四、45|(66,371)|(62,059)
其他资产减值损失|四、46|(2,320)|(484)
保险业务支出|四、47|(17,054)|(15,729)
其他业务成本|四、48|(12,346)|(12,888)
三、营业利润||93,753|86,213
加：营业外收入|四、49|358|524
减：营业外支出|四、50|(152)|(312)
四、利润总额||93,959|86,425
减：所得税费用|四、51|(5,020)|(6,855)
