page|96
项目|附注|2020 年度|2019 年度
一、营业总收入||11,614,731|12,841,095
其中：营业收入||11,614,731|12,841,095
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||8,829,370|8,749,187
其中：营业成本||4,351,504|4,448,808
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||45,006|184,796
销售费用||1,660,052|1,486,002
管理费用||657,318|697,894
研发费用||2,871,129|2,528,171
财务费用||(755,639)|(596,484)
其中：利息费用||41,062|1,147
利息收入||779,430|606,598
加：其他收益||122,321|66,021
投资收益（损失以“－”号填列）||539,079|3,026,685
其中：对联营企业和合营企业的投资收益||294,517|81,411
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||72,461|15,315
信用减值损失（损失以“-”号填列）||(1,240)|5,161
资产减值损失（损失以“-”号填列）||(130,719)|(21,893)
资产处置收益（损失以“－”号填列）||9,698|5,825
三、营业利润（亏损以“－”号填列）||3,396,961|7,189,022
加：营业外收入||24,618|45,531
减：营业外支出||47,262|17,075
四、利润总额（亏损总额以“－”号填列）||3,374,317|7,217,478
减：所得税费用||536,415|1,267,969
五、净利润（净亏损以“－”号填列）||2,837,902|5,949,509
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||2,837,902|5,949,509
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||2,912,505|5,980,435
2.少数股东损益（净亏损以“-”号填列）||(74,603)|(30,926)
page|97
项目|附注|2020 年度|2019 年度
六、其他综合收益的税后净额||724,988|(98,002)
（一）归属母公司所有者的其他综合收益的税后净额||724,988|(101,361)
1．不能重分类进损益的其他综合收益||1,121,904|(220,542)
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||1,121,904|(220,542)
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||(396,916)|119,181
（1）权益法下可转损益的其他综合收益||22,811|(210)
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||(419,727)|119,391
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||3,359
七、综合收益总额||3,562,890|5,851,507
（一）归属于母公司所有者的综合收益总额||3,637,493|5,879,074
（二）归属于少数股东的综合收益总额||(74,603)|(27,567)
八、每股收益：|||
（一）基本每股收益(元/股)||0.43|0.88
（二）稀释每股收益(元/股)||0.43|0.88
