page|58
项目|附注五|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||49,508,346.42|51,732,310.25
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|（七十九）|8,732,023.90|7,064,237.41
page|59
经营活动现金流入小计||58,240,370.32|58,796,547.66
购买商品、接受劳务支付的现金||6,743,575.90|6,852,910.62
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||32,644,079.00|35,791,461.58
支付的各项税费||18,475,442.53|9,356,866.13
支付其他与经营活动有关的现金|（七十九）|16,879,226.85|16,658,395.17
经营活动现金流出小计||74,742,324.28|68,659,633.50
经营活动产生的现金流量净额||-16,501,953.96|-9,863,085.84
二、投资活动产生的现金流量：|||
收回投资收到的现金||58,940,968.02|264,929,834.91
取得投资收益收到的现金||93,297,273.89|73,979,054.85
处置固定资产、无形资产和其他长期资产收回的现金净额||592,964.72|867,471.23
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||152,831,206.63|339,776,360.99
购建固定资产、无形资产和其他长期资产支付的现金||7,480,839.58|476,664,735.10
投资支付的现金||2,574,853.04|51,652,453.85
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||10,055,692.62|528,317,188.95
投资活动产生的现金流量净额||142,775,514.01|-188,540,827.96
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||128,505,750.00
其中：子公司吸收少数股东投资收到的现金|||128,505,750.00
取得借款收到的现金|||
收到其他与筹资活动有关的现金|（七十九）||63,750,000.00
筹资活动现金流入小计|||192,255,750.00
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||20,643,541.13|20,603,642.28
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||20,643,541.13|20,603,642.28
筹资活动产生的现金流量净额||-20,643,541.13|171,652,107.72
四、汇率变动对现金及现金等价物的影响||233.08|717.38
五、现金及现金等价物净增加额||105,630,252.00|-26,751,088.70
加：期初现金及现金等价物余额||234,003,495.17|260,754,583.87
六、期末现金及现金等价物余额||339,633,747.17|234,003,495.17
