page|55
项目|附注五|2019 年度|2018 年度
一、营业总收入||49,452,622.41|48,815,792.46
其中：营业收入|（六十一）|49,452,622.41|48,815,792.46
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||73,062,741.64|75,309,050.14
其中：营业成本|（六十一）|23,461,598.31|28,213,208.68
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十二）|5,299,354.61|5,746,048.89
销售费用|||
管理费用|（六十四）|42,263,823.75|44,148,604.46
研发费用|||
财务费用|（六十六）|2,037,964.97|-2,798,811.89
其中：利息费用||5,242,197.59|618,361.82
利息收入||3,237,562.02|3,450,357.76
加：其他收益|（六十七）|62,281.11|
|投资收益（损失以“－”号填列）  （六十八）|98,336,021.17|99,399,460.04
其中：对联营企业和合营企业的投|||
page|56
资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|（七十）|3,443,292.71|-115,819.88
|信用减值损失（损失以“-”号填列）  （七十一）|26,739.10|
|资产减值损失（损失以“-”号填列）  （七十二）|-11,184,589.61|-2,399,593.82
资产处置收益（损失以“－”号填列）|（七十三）|552,947.45|464,422.04
三、营业利润（亏损以“－”号填列）||67,626,572.70|70,855,210.70
加：营业外收入|（七十四）|3,633,354.07|610,847.65
减：营业外支出|（七十五）|41,065.30|763,837.57
四、利润总额（亏损总额以“－”号填列）||71,218,861.47|70,702,220.78
减：所得税费用|（七十六）|9,539,748.41|5,665,085.45
五、净利润（净亏损以“－”号填列）||61,679,113.06|65,037,135.33
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||61,679,113.06|65,037,135.33
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||67,130,915.65|67,661,104.33
2.少数股东损益（净亏损以“-”号填列）||-5,451,802.59|-2,623,969.00
六、其他综合收益的税后净额||175,356,565.02|-260,780,661.07
（一）归属母公司所有者的其他综合收益的税后净额||175,356,565.02|-260,780,661.07
1．不能重分类进损益的其他综合收益||175,356,565.02|
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||175,356,565.02|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||-260,780,661.07
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||-260,780,661.07
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
page|57
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||237,035,678.08|-195,743,525.74
（一）归属于母公司所有者的综合收益总额||242,487,480.67|-193,119,556.74
（二）归属于少数股东的综合收益总额||-5,451,802.59|-2,623,969.00
八、每股收益：|（七十七）||
（一）基本每股收益(元/股)||0.10|0.10
（二）稀释每股收益(元/股)||0.10|0.10
