page|114
华夏银行股份有限公司|||||
合并及银行现金流量表|||||
2019 年 1 月 1 日至 12 月 31 日止期间|||||
(除另有注明外，金额单位均为人民币百万元)|||||
|||本集团||本银行
|附注九|2019 年|2018 年|2019 年|2018 年
经营活动产生的现金流量|||||
客户存款和同业及其他金融机构|||||
存放款项净增加额||172,057|120,301|173,079|116,725
向中央银行借款净增加额||-|55,045|-|55,000
存放中央银行和同业款项净减少额||28,528|37,879|28,476|37,935
拆入资金及卖出回购金融资产款净增加额||105,451|-|85,601|-
拆出资金及买入返售金融资产净减少额||14,752|-|14,252|-
为交易目的而持有的金融资产净减少额||1,141|-|1,141|-
经营性应付债务凭证净增加额||63,140|-|63,140|-
收取利息、手续费及佣金的现金||122,738|109,108|116,633|105,221
收到其他与经营活动有关的现金||2,364|2,761|1,605|2,365
||_______|________|_______|________
经营活动现金流入小计||510,171|325,094|483,927|317,246
||_______|________|_______|________
客户贷款和垫款净增加额||(295,951)|(231,100)|(271,884)|(211,791)
拆入资金及卖出回购金融资产款净减少额||-|(43,558)|-|(58,682)
拆出资金及买入返售金融资产净增加额||-|(18,492)|-|(18,492)
向中央银行借款净减少额||(29,513)|-|(29,500)|-
经营性应付债务凭证净减少额||-|(29,720)|-|(29,720)
支付利息、手续费及佣金的现金||(59,515)|(59,334)|(57,143)|(57,063)
支付给职工以及为职工支付的现金||(15,381)|(14,937)|(15,147)|(14,749)
支付的各项税费||(13,346)|(12,933)|(12,961)|(12,587)
支付其他与经营活动有关的现金||(17,383)|(15,955)|(16,233)|(12,639)
||_______|________|_______|________
经营活动现金流出小计||(431,089)|(426,029)|(402,868)|(415,723)
||_______|________|_______|________
经营活动产生的现金流量净额|51|79,082|(100,935)|81,059|(98,477)
||_______|________|_______|________
投资活动产生的现金流量|||||
收回投资收到的现金||518,775|1,166,355|517,900|1,166,302
取得投资收益收到的现金||34,851|34,765|34,788|34,711
处置固定资产、无形资产和|||||
其他长期资产收到的现金净额||332|123|331|123
||_______|________|_______|________
投资活动现金流入小计||553,958|1,201,243|553,019|1,201,136
||_______|________|_______|________
投资支付的现金||(614,588)|(1,185,730)|(613,043)|(1,184,803)
购建固定资产、无形资产和|||||
其他长期资产支付的现金||(1,014)|(1,843)|(1,012)|(1,840)
||_______|________|_______|________
投资活动现金流出小计||(615,602)|(1,187,573)|(614,055)|(1,186,643)
||_______|________|_______|________
投资活动产生的现金流量净额||(61,644)|13,670|(61,036)|14,493
||_______|________|_______|________
page|115
||本集团|||本银行
|附注九|2019 年|2018 年|2019 年|2018 年
筹资活动产生的现金流量|||||
吸收投资收到的现金||39,993|29,231|39,993|29,231
发行债券所收到的现金||2,500|20,500|-|18,000
||______|______|______|______
筹资活动现金流入小计||42,493|49,731|39,993|47,231
||______|______|______|______
偿还债务支付的现金||(25,000)|-|(25,000)|-
分配股利、利润或偿付利息支付的现金||(8,663)|(7,044)|(8,558)|(7,043)
||______|______|______|______
筹资活动现金流出小计||(33,663)|(7,044)|(33,558)|(7,043)
||______|______|______|______
筹资活动产生的现金流量净额||8,830|42,687|6,435|40,188
||______|______|______|______
汇率变动对现金及现金等价物的影响额||195|591|195|591
||______|______|______|______
现金及现金等价物净变动额|51|26,463|(43,987)|26,653|(43,205)
加：年初现金及现金等价物余额||66,204|110,191|65,514|108,719
||______|______|______|______
年末现金及现金等价物余额|50|92,667|66,204|92,167|65,514
||______|______|______|______
