page|112
2019 年 1 月 1 日至 12 月 31 日止期间|||||
(除另有注明外，金额单位均为人民币百万元)|||||
||本集团|||本银行
|附注九|2019 年|2018 年|2019 年|2018 年
一、营业收入|||||
||_____|_____|_____|_____
利息净收入|38|64,561|51,538|61,866|50,428
利息收入||128,437|116,036|122,923|112,709
利息支出||(63,876)|(64,498)|(61,057)|(62,281)
手续费及佣金净收入|39|18,016|17,758|17,417|17,169
手续费及佣金收入||21,081|20,129|20,455|19,509
手续费及佣金支出||(3,065)|(2,371)|(3,038)|(2,340)
投资收益|40|1,231|4,068|1,231|4,071
其中：以摊余成本计量的金|||||
融资产终止确认产生的收益||-|不适用|-|不适用
公允价值变动收益/(损失)|41|823|(1,463)|823|(1,463)
汇兑收益/(损失)|42|(132)|204|(132)|204
其他业务收入||192|107|155|57
资产处置损益||15|(14)|15|(14)
其他收益||28|29|26|28
二、营业支出||(57,237)|(45,539)|(55,452)|(44,726)
||_____|_____|_____|_____
税金及附加|43|(890)|(867)|(856)|(844)
业务及管理费|44|(25,920)|(23,533)|(25,588)|(23,292)
信用减值损失|45|(30,251)|不适用|(28,842)|不适用
其他资产减值损失||(154)|不适用|(154)|不适用
资产减值损失|46|不适用|(21,117)|不适用|(20,580)
其他业务成本||(22)|(22)|(12)|(10)
||_____|_____|_____|_____
三、营业利润||27,497|26,688|25,949|25,754
加：营业外收入||168|167|149|140
减：营业外支出||(102)|(72)|(101)|(71)
||_____|_____|_____|_____
四、利润总额||27,563|26,783|25,997|25,823
减：所得税费用|47|(5,448)|(5,797)|(5,055)|(5,557)
||_____|_____|_____|_____
五、净利润||||20,942|
||_____|_____|_____|_____
(一)按经营持续性分类|||||
1、持续经营净利润||22,115|20,986|20,942|20,266
2、终止经营净利润|||||
||_____|_____|_____|_____
(二)按所有权归属分类|||||
1、归属于母公司股东的净利润||21,905|20,854|20,942|20,266
2、少数股东损益||210|132|-|-
||_____|_____|_____|_____
