page|68
项目|附 注|2021 年度|2020 年度
一、营业总收入||779,845,786,393.56|742,132,450,370.73
其中：营业收入||759,914,635,560.08|723,042,589,215.28
利息收入||17,727,046,686.11|17,181,341,644.28
已赚保费|||
手续费及佣金收入||2,204,104,147.37|1,908,519,511.17
二、营业总成本||770,749,730,281.51|729,528,798,451.98
其中：营业成本||686,742,792,553.92|657,765,544,632.29
利息支出||3,732,073,382.23|4,042,809,604.12
手续费及佣金支出||893,020,210.55|678,961,787.39
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||5,540,535,141.75|5,759,786,264.90
销售费用||29,505,101,466.14|25,551,327,929.59
管理费用||24,103,526,327.66|21,818,404,987.48
研发费用||19,668,497,536.95|13,395,044,388.06
财务费用||564,183,662.31|516,918,858.15
其中：利息费用||2,106,125,643.96|2,179,748,060.66
利息收入||2,410,923,781.61|2,307,766,616.62
加：其他收益||3,823,183,406.63|2,579,563,169.78
投资收益(损失以“－”号填列)||27,164,405,587.23|21,009,860,637.81
其中：对联营企业和合营企业的投资收益||17,366,044,031.14|14,319,864,677.22
以摊余成本计量的金融资产终止确认收益||764,415,851.96|
汇兑收益(损失以“－”号填列)||29,790,917.63|19,634,717.19
净敞口套期收益(损失以“-”号填列)|||
公允价值变动收益(损失以“－”号填列)||1,737,869,689.54|3,811,635,278.12
信用减值损失(损失以“-”号填列)||-231,254,043.06|-1,116,245,649.21
资产减值损失(损失以“-”号填列)||-983,363,760.04|-3,189,619,975.38
资产处置收益(损失以“－”号填列)||810,061,578.31|-110,981,183.34
三、营业利润(亏损以“－”号填列)||41,446,749,488.29|35,607,498,913.72
加：营业外收入||469,235,263.06|749,583,972.52
减：营业外支出||358,325,362.56|465,458,210.81
四、利润总额(亏损总额以“－”号填列)||41,557,659,388.79|35,891,624,675.43
减：所得税费用||7,615,900,531.24|6,703,573,806.26
五、净利润(净亏损以“－”号填列)||33,941,758,857.55|29,188,050,869.17
(一)按经营持续性分类|||
1.持续经营净利润(净亏损以“－”号||33,941,758,857.55|29,188,050,869.17
page|69
填列)|||
2.终止经营净利润(净亏损以“－”号填列)|||
(二)按所有权归属分类|||
1.归属于母公司股东的净利润(净亏损以“-”号填列)||24,533,097,943.83|20,431,037,479.76
2.少数股东损益(净亏损以“-”号填列)||9,408,660,913.72|8,757,013,389.41
六、其他综合收益的税后净额||1,415,850,741.11|940,798,695.96
(一)归属母公司所有者的其他综合收益的税后净额||945,479,655.35|858,382,998.64
1．不能重分类进损益的其他综合收益||1,258,037,112.59|2,119,826,969.64
(1)重新计量设定受益计划变动额||-79,255,862.72|236,288,838.99
(2)权益法下不能转损益的其他综合收益||-164,961.99|-2,654,110.89
(3)其他权益工具投资公允价值变动||1,337,457,937.30|1,886,192,241.54
(4)企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-312,557,457.24|-1,261,443,971.00
(1)权益法下可转损益的其他综合收益||-40,886,873.93|-54,970,930.42
(2)其他债权投资公允价值变动||105,438,911.50|-110,000,631.61
(3)金融资产重分类计入其他综合收益的金额|||
(4)其他债权投资信用减值准备|||80,365.61
(5)现金流量套期储备||7,672,670.77|-3,837,691.92
(6)外币财务报表折算差额||-378,390,534.85|-1,097,865,677.29
(7)其他||-6,391,630.73|5,150,594.63
(二)归属于少数股东的其他综合收益的税后净额||470,371,085.76|82,415,697.32
七、综合收益总额||35,357,609,598.66|30,128,849,565.13
(一)归属于母公司所有者的综合收益总额||25,478,577,599.18|21,289,420,478.40
(二)归属于少数股东的综合收益总额||9,879,031,999.48|8,839,429,086.73
八、每股收益：|||
(一)基本每股收益(元/股)||2.120|1.752
(二)稀释每股收益(元/股)||不适用|不适用
