page|176
|021 年度合并及银行现金流量表||||
(除另有标明外，所有金额均以人民币千元列示)|||||
|附注|本集团|||本行
||2021年度|2020年度|2021年度|2020年度
经营活动产生的现金流量|||||
存放中央银行款项净减|||||
少额||11,121,384|-|10,374,842|-
向中央银行借款净增加|||||
额||-|33,642,647|-|33,568,681
存放同业及其他金融机|||||
构款项净减少额||-|2,349,354|-|2,351,354
同业及其他金融机构存|||||
放款项净增加额||69,991,244|40,287,679|68,280,947|41,219,940
拆入资金净增加额||-|1,354,330|-|232,124
为交易目的而持有的金|||||
融资产净减少额||9,834,727|-|21,133,890|-
交易性金融负债净增加额||722,784|-|-|-
卖出回购金融资产款净|||||
增加额||31,889,508|12,594,310|8,539,110|11,179,902
客户存款净增加额||153,254,802|111,106,615|153,600,957|109,729,052
收取的利息||68,433,789|60,233,083|67,712,818|59,384,355
收取的手续费及佣金||10,286,147|6,339,404|9,940,011|5,774,660
收到其他与经营活动有|||||
关的现金||965,832|1,870,730|680,518|1,828,043
经营活动现金流入小计||356,500,217|269,778,152|340,263,093|265,268,111
page|177
|021 年度合并及银行现金流量表(续)||||
(除另有标明外，所有金额均以人民币千元列示)|||||
|附注|本集团||本行|
||2021年度|2020年度|2021年度|2020年度
投资活动产生的现金流量：|||||
收回投资收到的现金||361,216,324|641,826,148|349,464,883|633,870,055
取得投资收益收到的现金||29,072,972|29,975,651|30,477,281|28,723,332
处置长期资产收回的现金||19,757|7,014|19,247|7,598
投资活动现金流入小计||390,309,053|671,808,813|379,961,411|662,600,985
投资支付的现金||(440,953,729)|(666,563,996)|(417,451,200)|(665,721,936)
购建长期资产支付的现金||(958,547)|(1,128,188)|(921,047)|(1,118,570)
投资活动现金流出小计||(441,912,276)|(667,692,184)|(418,372,247)|(666,840,506)
投资活动产生的现金流量|||||
净额||(51,603,223)|4,116,629|(38,410,836)|(4,239,521)
筹资活动产生的现金流量：|||||
发行债务证券收到的现金||839,978,157|634,253,113|832,282,302|626,540,000
筹资活动现金流入小计||839,978,157|634,253,113|832,282,302|626,540,000
偿还发行债务证券本金支付|||||
的现金||(756,380,448)|(635,158,945)|(748,936,092)|(630,708,097)
偿付发行债务证券利息支付|||||
的现金||(6,629,281)|(5,545,726)|(6,134,113)|(5,374,493)
偿还租赁负债支付的现金||(784,068)|-|(750,185)|-
分配股利支付的现金||(6,740,795)|(6,740,473)|(6,725,784)|(6,733,774)
筹资活动现金流出小计||(770,534,592)|(647,445,144)|(762,546,174)|(642,816,364)
筹资活动产生的现金流量|||||
净额||69,443,565|(13,192,031)|69,736,128|(16,276,364)
汇率变动对现金及现金等价|||||
物的影响||(273,931)|(734,682)|(190,595)|(536,334)
