page|68
项目|附注六|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,566,804,344.56|3,777,370,611.74
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||14,841,492.20|18,117,782.59
page|69
收到其他与经营活动有关的现金|48|71,335,934.76|21,956,431.39
经营活动现金流入小计||4,652,981,771.52|3,817,444,825.72
购买商品、接受劳务支付的现金||3,499,075,264.61|2,982,646,667.84
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||225,306,170.53|214,407,378.69
支付的各项税费||149,284,887.88|125,971,271.71
支付其他与经营活动有关的现金|48|358,665,844.17|211,760,945.78
经营活动现金流出小计||4,232,332,167.19|3,534,786,264.02
经营活动产生的现金流量净额|49|420,649,604.33|282,658,561.70
二、投资活动产生的现金流量：|||
收回投资收到的现金||106,566,307.31|
取得投资收益收到的现金||9,098,404.53|12,220,560.64
处置固定资产、无形资产和其他长期资产收回的现金净额||1,303,447.43|296,500.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|48|660,758,793.08|851,980,000
投资活动现金流入小计||777,726,952.35|864,497,060.64
购建固定资产、无形资产和其他长期资产支付的现金||236,504,329.91|294,179,456.44
投资支付的现金||129,852,500.00|54,570,999.98
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||24,735,000.00|88,520,951.53
支付其他与投资活动有关的现金|49|667,769,432.49|851,980,000.00
投资活动现金流出小计||1,058,861,262.40|1,289,251,407.95
投资活动产生的现金流量净额||-281,134,310.05|-424,754,347.31
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投|||
page|70
资收到的现金|||
取得借款收到的现金||28,000,000.00|
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||28,000,000.00|
偿还债务支付的现金||12,000,000.00|39,800,000.00
分配股利、利润或偿付利息支付的现金||127,606,176.59|154,060,829.37
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|49|5,947,189.18|3,856,202.78
筹资活动现金流出小计||145,553,365.77|197,717,032.15
筹 资 活 动 产 生 的 现 金 流量净额||-117,553,365.77|-197,717,032.15
四、汇率变动对现金及现金等价物的影响||5,274.46|2,396,458.54
五、现金及现金等价物净增加额||21,967,202.97|-337,416,359.22
加：期初现金及现金等价物余额||564,245,563.03|901,661,922.25
六、期末现金及现金等价物余额||586,212,766.00|564,245,563.03
