page|64
项目|附注六|2019 年度|2018 年度
一、营业总收入||4,177,534,859.28|4,052,428,544.24
其中：营业收入|34|4,177,534,859.28|4,052,428,544.24
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||3,960,762,174.98|3,776,193,617.40
其中：营业成本|34|3,504,738,556.49|3,352,089,190.23
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|35|22,359,461.24|15,773,017.28
销售费用|36|156,294,071.04|162,859,678.10
管理费用|37|116,207,827.30|107,221,310.96
研发费用|38|161,726,340.36|149,852,824.08
财务费用|39|-564,081.45|-11,602,403.25
其中：利息费用|39|4,057,365.60|486,088.30
利息收入|39|4,844,622.91|11,240,244.06
加：其他收益|40|5,383,469.49|4,538,974.28
page|65
投资收益（损失以“－”号填列）|41|14,444,678.27|9,087,085.93
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|42|128,509.07|
资产减值损失（损失以“-”号填列）|43|-39,462,191.71|-51,713,475.03
资产处置收益（损失以“－”号填列）|44|-313,547.43|334,098.36
三、营业利润（亏损以“－”号填列）||196,953,601.99|238,481,610.38
加：营业外收入|45|3,583,789.35|3,251,269.12
减：营业外支出|46|3,177,092.80|1,520,108.35
四、利润总额（亏损总额以“－”号填列）||197,360,298.54|240,212,771.15
减：所得税费用|47|28,356,133.17|26,642,331.02
五、净利润（净亏损以“－”号填列）||169,004,165.37|213,570,440.13
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||169,004,165.37|213,570,440.13
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||155,855,648.43|205,825,329.39
2.少数股东损益（净亏损以“-”号填列）||13,148,516.94|7,745,110.74
六、其他综合收益的税后净额|||11,339,295.45
（一）归属母公司所有者的其他综合收益的税后净额|||6,126,626.23
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
page|66
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||6,126,626.23
（1）权益法下可转损益的其他综合收益|||701,195.00
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||5,425,431.23
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||5,212,669.22
七、综合收益总额||169,004,165.37|224,909,735.58
（一）归属于母公司所有者的综合收益总额||155,855,648.43|211,951,955.62
（二）归属于少数股东的综合收益总额||13,148,516.94|12,957,779.96
八、每股收益：|||
（一）基本每股收益(元/股)||0.50|0.66
（二）稀释每股收益(元/股)||0.50|0.66
