page|102
项目|附注|2019年12月31日|2019年1月1日|2018年12月31日
流动资产：||||
货币资金|六（一）|14,317,366,099.93|10,337,887,158.50|10,337,887,158.50
结算备付金||||
拆出资金||||
交易性金融资产|六（二）|48,785,784.80|11,685,155.01|11,685,155.01
以公允价值计量且其变动计入当期损益的金融||||
资产衍生金融资产||||
应收票据|六（三）|633,564,863.60|130,810,712.06|130,810,712.06
应收账款|六（四）|2,350,380,440.10|2,562,295,160.42|2,562,295,160.42
应收款项融资||||
预付款项|六（五）|2,339,261,199.21|3,020,857,780.23|3,020,857,780.23
应收保费||||
应收分保账款||||
应收分保合同准备金||||
其他应收款|六（六）|1,822,048,699.16|326,086,350.28|326,086,350.28
其中：应收利息||8,794,796.77|46,907,817.53|46,907,817.53
应收股利||||
买入返售金融资产||||
存货|六（七）|4,344,806,992.50|4,955,993,857.79|4,955,993,857.79
合同资产|六（八）|6,336,385,363.12|6,860,770,802.28|6,860,770,802.28
持有待售资产||||
一年内到期的非流动资产|六（九）|692,000,000.00|463,415,968.00|463,415,968.00
其他流动资产|六（十）|350,850,895.77|365,378,116.05|365,378,116.05
流动资产合计||33,235,450,338.19|29,035,181,060.62|29,035,181,060.62
非流动资产：||||
发放贷款和垫款||||
债权投资||||
可供出售金融资产||||
其他债权投资||||
持有至到期投资||||
长期应收款|六（十一）|2,703,137,274.56|1,976,516,046.20|1,976,516,046.20
长期股权投资|六（十二）|753,695,038.72|740,935,298.11|740,935,298.11
其他权益工具投资|六（十三）|71,248,734.49|63,403,225.93|63,403,225.93
其他非流动金融资产||||
投资性房地产|六（十四）|20,993,939.36|21,622,651.52|21,622,651.52
固定资产|六（十五）|11,439,928,689.69|12,046,436,020.38|12,046,436,020.38
在建工程|六（十六）|1,181,944,326.01|762,567,676.87|762,567,676.87
生产性生物资产||||
油气资产||||
使用权资产|六（十七）|149,351,363.01|199,340,500.82|
无形资产|六（十八）|2,072,573,536.99|2,084,830,278.97|2,084,830,278.97
开发支出||||
商誉|六（十九）|144,231,195.67|144,231,195.67|144,231,195.67
长期待摊费用|六（二十）|75,592,524.66|79,285,603.23|79,285,603.23
递延所得税资产|六（二十一）|377,902,704.29|440,083,496.90|440,083,496.90
其他非流动资产|六（二十二）|78,019,489.34|80,251,531.97|80,251,531.97
非流动资产合计||19,068,618,816.79|18,639,503,526.57|18,440,163,025.75
资产总计||52,304,069,154.98|47,674,684,587.19|47,475,344,086.37
page|103
项目|附注|2019年12月31日|2019年1月1日|2018年12月31日
流动负债：||||
短期借款|六（二十三）|6,147,082,148.56|4,304,387,255.88|4,304,387,255.88
向中央银行借款||||
拆入资金||||
交易性金融负债|六（二十四）|221,737,672.75|431,894,056.78|431,894,056.78
以公允价值计量且其变动计入当期损益的金融负债||||
衍生金融负债||||
应付票据|六（二十五）|3,063,415,001.67|2,730,396,298.20|2,730,396,298.20
应付账款|六（二十六）|8,687,397,898.75|7,958,832,249.26|7,958,832,249.26
预收款项||||
合同负债|六（二十七）|8,488,146,386.62|7,112,391,961.78|7,112,391,961.78
卖出回购金融资产款||||
吸收存款及同业存放||||
代理买卖证券款||||
代理承销证券款||||
应付职工薪酬|六（二十八）|40,446,901.64|41,351,166.51|41,351,166.51
应交税费|六（二十九）|72,234,563.79|48,140,024.18|48,140,024.18
其他应付款|六（三十）|344,881,770.61|336,922,424.57|336,922,424.57
其中：应付利息||35,332,096.80|16,734,825.58|16,734,825.58
应付股利||394,042.49|304,042.49|304,042.49
应付手续费及佣金||||
应付分保账款||||
持有待售负债||||
一年内到期的非流动负债|六（三十一）|2,281,928,067.24|4,461,169,400.36|4,414,000,000.00
其他流动负债|六（三十二）|63,237,341.88|182,190,818.20|182,190,818.20
流动负债合计||29,410,507,753.51|27,607,675,655.72|27,560,506,255.36
非流动负债：||||
保险合同准备金||||
长期借款|六（三十三）|6,049,757,000.00|4,339,619,500.00|4,339,619,500.00
应付债券||||
其中：优先股||||
永续债||||
租赁负债|六（三十四）|110,198,081.27|152,171,100.46|
长期应付款|六（三十五）|101,816,823.07|99,370,000.00|99,370,000.00
长期应付职工薪酬|六（三十六）|229,389,012.33|248,554,297.66|248,554,297.66
预计负债|六（三十七）|694,854,560.21|802,016,709.10|802,016,709.10
递延收益|六（三十八）|150,307,309.25|59,916,128.16|59,916,128.16
递延所得税负债|六（二十一）|9,514,927.47|8,950,648.02|8,950,648.02
其他非流动负债||||
非流动负债合计||7,345,837,713.60|5,710,598,383.40|5,558,427,282.94
负债合计||36,756,345,467.11|33,318,274,039.12|33,118,933,538.30
股东权益：||||
股本|六（三十九）|1,413,506,378.00|1,413,506,378.00|1,413,506,378.00
其他权益工具||||
其中：优先股||||
永续债||||
资本公积|六（四十）|9,418,941,779.55|9,549,580,748.34|9,549,580,748.34
减：库存股||||
其他综合收益|六（四十一）|-41,694,917.30|-45,615,426.57|-45,615,426.57
专项储备|六（四十二）|443,910.04|1,226,639.50|1,226,639.50
盈余公积|六（四十三）|962,452,773.01|962,441,825.31|962,441,825.31
一般风险准备||||
未分配利润|六（四十四）|-1,605,393,084.53|-2,153,702,475.37|-2,153,702,475.37
归属于母公司股东权益合计||10,148,256,838.77|9,727,437,689.21|9,727,437,689.21
少数股东权益||5,399,466,849.10|4,628,972,858.86|4,628,972,858.86
股东权益合计||15,547,723,687.87|14,356,410,548.07|14,356,410,548.07
负债和股东权益总计||52,304,069,154.98|47,674,684,587.19|47,475,344,086.37
