page|108
项       目|附注|本期发生额|上期发生额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||22,690,616,089.82|16,923,312,942.46
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||1,077,425,452.52|2,342,160,714.55
收到其他与经营活动有关的现金|六（七十三）|2,592,935,993.75|621,756,406.29
经营活动现金流入小计||26,360,977,536.09|19,887,230,063.30
购买商品、接受劳务支付的现金||19,356,192,281.32|18,016,394,572.45
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||2,238,441,280.91|2,117,084,358.28
支付的各项税费||197,499,866.38|157,091,811.24
支付其他与经营活动有关的现金|六（七十三）|833,290,106.52|1,141,569,455.56
经营活动现金流出小计||22,625,423,535.13|21,432,140,197.53
经营活动产生的现金流量净额||3,735,554,000.96|-1,544,910,134.23
二、投资活动产生的现金流量：|||
收回投资收到的现金||900,000,000.00|999,425,000.00
取得投资收益收到的现金||36,541,732.71|14,298,810.80
处置固定资产、无形资产和其他长期资产收回的现金净额||749,425.99|847,560.03
处置子公司及其他营业单位收到的现金净额|||119,781.64
收到其他与投资活动有关的现金|六（七十三）|4,074,104,657.87|894,996,962.96
投资活动现金流入小计||5,011,395,816.57|1,909,688,115.43
购建固定资产、无形资产和其他长期资产支付的现金||870,294,161.46|785,467,723.81
投资支付的现金||929,210,860.24|892,033,674.31
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||990,000.00|
支付其他与投资活动有关的现金|六（七十三）|5,995,598,386.76|2,024,548,411.59
投资活动现金流出小计||7,796,093,408.46|3,702,049,809.71
投资活动产生的现金流量净额||-2,784,697,591.89|-1,792,361,694.28
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||1,200,000.00|4,801,010,000.00
其中：子公司吸收少数股东投资收到的现金||1,200,000.00|1,010,000.00
取得借款收到的现金||16,262,450,494.07|9,900,757,500.00
收到其他与筹资活动有关的现金|六（七十三）|253,000,000.00|116,790,000.00
筹资活动现金流入小计||16,516,650,494.07|14,818,557,500.00
偿还债务支付的现金||14,929,331,399.85|14,206,367,596.69
分配股利、利润或偿付利息支付的现金||377,214,387.52|431,085,601.47
其中：子公司支付给少数股东的股利、利润|||61,526.88
支付其他与筹资活动有关的现金|六（七十三）|19,067,561.81|1,003,400.00
筹资活动现金流出小计||15,325,613,349.18|14,638,456,598.16
筹资活动产生的现金流量净额||1,191,037,144.89|180,100,901.84
四、汇率变动对现金及现金等价物的影响||4,781,881.94|59,404,170.35
五、现金及现金等价物净增加额||2,146,675,435.90|-3,097,766,756.32
加：期初现金及现金等价物余额||8,536,815,355.09|11,634,582,111.41
六、期末现金及现金等价物余额||10,683,490,790.99|8,536,815,355.09
