page|69
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||11,076,471,821.82|11,673,796,698.53
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||20,376,594.44|35,090,147.54
收到其他与经营活动有关的现金||53,817,530.38|26,981,319.31
经营活动现金流入小计||11,150,665,946.64|11,735,868,165.38
购买商品、接受劳务支付的现金||9,725,818,296.90|10,101,514,301.22
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||326,504,507.59|330,003,248.01
支付的各项税费||229,509,025.68|244,120,738.31
支付其他与经营活动有关的现金||280,481,400.62|273,089,763.20
经营活动现金流出小计||10,562,313,230.79|10,948,728,050.74
经营活动产生的现金流量净额||588,352,715.85|787,140,114.64
二、投资活动产生的现金流量：|||
收回投资收到的现金||282,897,189.19|135,148,809.94
取得投资收益收到的现金||16,507,181.23|136,473,232.90
处置固定资产、无形资产和其他长期资产收回的现金净额||12,118,802.00|30,587,189.37
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||8,167,651.94|4,723,358.16
投资活动现金流入小计||319,690,824.36|306,932,590.37
购建固定资产、无形资产和其他长期资产支付的现金||209,685,848.45|319,141,403.84
page|70
投资支付的现金||128,668,595.20|136,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||338,354,443.65|455,141,403.84
投资活动产生的现金流量净额||-18,663,619.29|-148,208,813.47
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||23,230,240.00
其中：子公司吸收少数股东投资收到的现金|||23,230,240.00
取得借款收到的现金||864,646,344.29|1,365,114,541.42
收到其他与筹资活动有关的现金||121,812,157.42|87,151,352.41
筹资活动现金流入小计||986,458,501.71|1,475,496,133.83
偿还债务支付的现金||853,665,822.10|1,636,673,420.41
分配股利、利润或偿付利息支付的现金||178,842,174.83|254,685,444.65
其中：子公司支付给少数股东的股利、利润||47,456,175.99|45,397,897.19
支付其他与筹资活动有关的现金||147,661,559.61|226,347,820.13
筹资活动现金流出小计||1,180,169,556.54|2,117,706,685.19
筹资活动产生的现金流量净额||-193,711,054.83|-642,210,551.36
四、汇率变动对现金及现金等价物的影响||18,901,766.46|35,211,584.22
五、现金及现金等价物净增加额||394,879,808.19|31,932,334.03
加：期初现金及现金等价物余额||456,256,686.88|424,324,352.85
六、期末现金及现金等价物余额||851,136,495.07|456,256,686.88
