page|57
项目|附注五|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||7,585,797,662.15|8,872,682,224.88
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||2,733,696.79
收到其他与经营活动有关的现金|（七十九）|304,499,174.09|106,745,279.53
经营活动现金流入小计||7,890,296,836.24|8,982,161,201.20
购买商品、接受劳务支付的现金||7,497,740,827.08|8,208,587,555.81
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||207,019,390.14|177,593,955.93
支付的各项税费||101,677,415.94|47,736,752.46
支付其他与经营活动有关的现金|（七十九）|114,470,790.29|344,761,889.79
经营活动现金流出小计||7,920,908,423.45|8,778,680,153.99
经营活动产生的现金流量净额||-30,611,587.21|203,481,047.21
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||20,009,151.20|24,999,643.32
处置固定资产、无形资产和其他长期资产收回的现金净额||3,429,130.20|6,481,759.82
处置子公司及其他营业单位收到的现金净额||104,170,136.47|73,175,804.62
收到其他与投资活动有关的现金|||
投资活动现金流入小计||127,608,417.87|104,657,207.76
购建固定资产、无形资产和其他长期资产支付的现金||29,383,973.52|6,633,392.67
page|58
投资支付的现金||1,960,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||31,343,973.52|6,633,392.67
投资活动产生的现金流量净额||96,264,444.35|98,023,815.09
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||9,800,000.00|
其中：子公司吸收少数股东投资收到的现金||9,800,000.00|
取得借款收到的现金||711,885,931.79|747,841,066.80
收到其他与筹资活动有关的现金|（七十九）||2,660,000.00
筹资活动现金流入小计||721,685,931.79|750,501,066.80
偿还债务支付的现金||718,602,021.37|698,603,278.90
分配股利、利润或偿付利息支付的现金||9,607,920.14|23,113,484.17
其中：子公司支付给少数股东的股利、利润||2,646,775.99|12,299,208.99
支付其他与筹资活动有关的现金|（七十九）|27,759,117.05|
筹资活动现金流出小计||755,969,058.56|721,716,763.07
筹资活动产生的现金流量净额||-34,283,126.77|28,784,303.73
四、汇率变动对现金及现金等价物的影响||56,980.89|-121,141.94
五、现金及现金等价物净增加额||31,426,711.26|330,168,024.09
加：期初现金及现金等价物余额||635,816,669.76|305,648,645.67
六、期末现金及现金等价物余额||667,243,381.02|635,816,669.76
