page|50
项目|附注五|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|（一）|739,740,958.75|889,238,569.34
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据|（四）||44,506,790.00
应收账款|（五）|33,738,566.00|39,964,022.53
应收款项融资|（六）|5,183,900.47|5,869,015.26
预付款项|（七）|113,344,687.48|33,861,684.95
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|（八）|72,048,655.95|115,091,740.83
其中：应收利息|||
应收股利||1,286,909.58|1,286,909.58
买入返售金融资产|||
存货|（九）|223,610,237.98|330,412,174.48
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|（十三）|58,738,542.55|109,951,517.50
流动资产合计||1,246,405,549.18|1,568,895,514.89
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|（十七）|186,627,713.06|183,589,905.97
其他权益工具投资|（十八）|27,045,964.26|32,184,086.72
其他非流动金融资产|||
投资性房地产|（二十）|8,429,597.03|9,424,190.75
固定资产|（二十一）|225,490,414.25|309,399,073.23
在建工程|（二十二）|914,663.67|198,802.34
生产性生物资产|||
油气资产|||
使用权资产|（二十五）|209,151,331.50|
无形资产|（二十六）|14,585,693.36|30,921,171.62
开发支出|||
商誉|||
长期待摊费用|（二十九）|53,864,059.23|23,988,286.81
page|51
递延所得税资产|（三十）|2,576,042.48|3,029,816.95
其他非流动资产|（三十一）|34,514,341.98|30,574,565.50
非流动资产合计||763,199,820.82|623,309,899.89
资产总计||2,009,605,370.00|2,192,205,414.78
流动负债：|||
短期借款|（三十二）|139,751,603.50|146,467,693.08
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|（三十五）|318,641,000.00|873,400,000.00
应付账款|（三十六）|8,767,636.59|14,548,963.32
预收款项|（三十七）|3,428,068.23|2,452,321.18
合同负债|（三十八）|35,397,580.26|41,603,134.22
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|（三十九）|42,051,624.67|36,287,611.32
应交税费|（四十）|9,985,383.12|22,928,314.43
其他应付款|（四十一）|126,307,984.39|113,741,841.58
其中：应付利息|||
应付股利||33,821.60|33,821.60
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|（四十三）|41,872,773.99|578,000.00
其他流动负债|（四十四）|2,435,140.10|4,698,917.16
流动负债合计||728,638,794.85|1,256,706,796.29
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|（四十七）|177,015,503.44|
长期应付款|（四十八）|27,395,000.00|
长期应付职工薪酬|（四十九）|24,692,000.00|20,179,000.00
预计负债|||
递延收益|（五十一）|29,631,419.61|38,068,854.28
递延所得税负债|（三十）|32,988,444.08|34,272,974.70
其他非流动负债|||
非流动负债合计||291,722,367.13|92,520,828.98
负债合计||1,020,361,161.98|1,349,227,625.27
所有者权益（或股东权益）：|||
实收资本（或股本）|（五十三）|495,972,914.00|495,972,914.00
其他权益工具|||
其中：优先股|||
page|52
永续债|||
资本公积|（五十五）|1,782,934,309.84|1,782,934,309.84
减：库存股|||
其他综合收益|（五十七）|11,768,620.94|23,580,366.79
专项储备|（五十八）||347,611.09
盈余公积|（五十九）|53,165,313.23|53,165,313.23
一般风险准备|||
未分配利润|（六十）|-1,415,269,672.14|-1,567,432,161.63
归属于母公司所有者权益（或股东权益）合计||928,571,485.87|788,568,353.32
少数股东权益||60,672,722.15|54,409,436.19
所有者权益（或股东权益）合计||989,244,208.02|842,977,789.51
负债和所有者权益（或股东权益）总计||2,009,605,370.00|2,192,205,414.78
