page|19
项目名称|本期期末数|本期期末数占总资产的比例（%）|上期期末数|上期期末数占总资产的比例（%）|本期期末金额较上期期末变动比例（%）|情况说明
流动资产：||||||
货币资金|11,357,042,513.37||8.93  10,083,145,234.53|8.39|12.63|
结算备付金|471,670,238.18|0.37|1,044,032,991.30|0.87||-54.82 主要系下属子公司五矿证券本期为证券交易资金清算和交收而存入指定清算代理机构的款项变动所致。
交易性金融资产|25,794,399,843.64|20.28||0.00||不适用 主要系公司执行新金融工具准则影响。
以公允价值计量且其变动计入当期损益的金融资产||0.00|950,428,113.46|0.79||-100 主要系公司执行新金融工具准则影响。
衍生金融资产|7,662,424.25|0.01||0.00||不适用 主要系公司执行新金融工具准则影响。
应收票据||0.00|12,100,000.00|0.01||-100.00 主要系下属子公司外贸租赁本期应收票据减少所致。
应收账款|9,678,386.07|0.01|13,503,169.57|0.01|-28.33|
预付款项|41,332,602.64|0.03|44,651,716.16|0.04|-7.43|
其他应收款|410,351,929.15|0.32|959,747,663.93|0.80||-57.24 主要系下属子公司五矿信托本期收回部分其他应收款以及根据财政部于 2019 年 4 月 30 日发布的《关于修订印发2019 年度一般企业财务报表格式的通知》（财会〔2019〕6 号）要求，应收利息仅反映相关金融工具已到期可收取但于资产负债表日尚未收到的利息所致。
其中：应收利息|20,831,911.22|0.02|277,620,028.70|0.23||-92.50 根据财政部于 2019 年 4 月 30 日发布的《关于修订印发2019 年度一般企业财务报表格式的通知》（财会〔2019〕6 号）要求，应收利息仅反映相关金融工具已到期可收取
page|20
||||||但于资产负债表日尚未收到的利息所致。
应收股利|2,130,822.10|0.00||||不适用 主要系下属子公司五矿信托本期基金已宣告分红但尚未收到所致。
买入返售金融资产|1,500,014,391.75|1.18|5,553,704,183.21|4.62||-72.99 主要系下属子公司五矿证券买入返售业务下降所致。
存货|265,022,238.63|0.21|180,642,624.56|0.15||46.71 主要系下属子公司五矿产业金融库存增加所致。
一年内到期的非流动资产|20,864,690,316.57||16.40  21,364,448,638.01|17.77|-2.34|
其他流动资产|7,272,804,060.19|5.72|4,486,821,459.67|3.73||62.09 主要系下属子公司五矿证券融出资金增加以及五矿经易期货应收货币保证金增加所致。
非流动资产：||||||
债权投资|137,183,352.73|0.11||0.00||不适用 主要系公司执行新金融工具准则影响。
可供出售金融资产|||0.00  29,879,217,949.94|24.86||-100.00 主要系公司执行新金融工具准则影响。
其他债权投资|11,493,121,609.97|9.03||0.00||不适用 主要系公司执行新金融工具准则影响。
长期应收款|38,602,014,697.33||30.34  39,643,416,668.03|32.98|-2.63|
长期股权投资|1,399,406,560.62|1.10|1,262,748,232.58|1.05|10.82|
其他权益工具投资|372,844,327.11|0.29||0.00||不适用 主要系公司执行新金融工具准则影响。
其他非流动金融资产|2,036,272,468.07|1.60||0.00||不适用 主要系公司执行新金融工具准则影响。
投资性房地产|4,409,398.85|0.00|6,995,135.51|0.01||-36.96 主要系下属子公司五矿资本控股本期处置部分投资性房地产所致。
固定资产|71,851,915.07|0.06|53,112,606.16|0.04||35.28 主要系下属子公司本期购置固定资产增加所致。
在建工程|566,993,667.45|0.45|333,226,042.66|0.28||70.15 主要系下属子公司五矿经易期货在建五矿金融大厦投入增加所致。
无形资产|447,097,943.28|0.35|426,560,815.86|0.35|4.81|
开发支出|800,184.44|0.00||||不适用 主要系下属子公司软件系统相关支出。
商誉|1,411,965,090.33|1.11|1,411,965,090.33|1.17|0.00|
page|21
长期待摊费用|54,184,895.69|0.04|24,323,978.59|0.02||122.76 主要系下属子公司五矿信托异地分部装修及工程费增加所致。
递延所得税资产|1,576,726,022.00|1.24|1,458,775,047.78|1.21|8.09|
其他非流动资产|1,047,272,630.92|0.82|1,018,466,926.69|0.85|2.83|
流动负债：||||||
短期借款|32,932,023,465.33||25.89  40,099,000,000.00|33.36|-17.87|
拆入资金|1,708,847,500.00|1.34|1,610,000,000.00|1.34|6.14|
以公允价值计量且其变动计入当期损益的金融负债||0.00|1,537,740.60|||-100.00 主要系公司执行新金融工具准则影响。
衍生金融负债|3,858,375.00|0.00|||不适用|
应付票据||0.00|447,158,609.90|0.37||-100.00 主要系下属子公司外贸租赁应付票据到期结算所致。
应付账款|85,821,687.79|0.07|109,997,600.06|0.09|-21.98|
预收款项|75,211,090.87|0.06|53,876,427.20|0.04||39.60 主要系下属子公司五矿产业金融预收购货款增加所致。
代理买卖证券款|1,560,159,018.87|1.23|1,544,652,690.65|1.28|1.00|
卖出回购金融资产款|8,963,888,645.79|7.05|8,742,909,097.01|7.27|2.53|
应付职工薪酬|1,013,362,024.35|0.80|669,119,283.18|0.56||51.45 主要系下属子公司本期人员增加及业绩增长，相应的职工薪酬增加所致。
应交税费|556,391,446.92|0.44|998,979,756.45|0.83||-44.30 主要系下属子公司本期缴纳税款所致。
其他应付款|15,315,270,718.02|12.04|4,187,789,463.61|3.48||265.71 主要系下属子公司五矿资本控股本期收到中国五矿财务资助款所致。
其中：应付利息|284,611.86|0.00|544,507,692.70|0.45||-99.95 根据财政部于 2019 年 4 月 30 日发布的《关于修订印发2019 年度一般企业财务报表格式的通知》（财会〔2019〕6 号）要求，应付利息仅反映相关金融工具已到期应支付但于资产负债表日尚未支付的利息所致。
page|22
一年内到期的非流动负债|2,592,548,643.65|2.04|2,445,580,175.44|2.03|6.01|
其他流动负债|8,711,892,897.04|6.85|6,333,621,892.52|5.27||37.55 主要系下属子公司五矿证券的短期融资券以及五矿经易期货的应付货币保证金和质押保证金增加所致。
非流动负债：||||||
长期借款|2,980,591,026.40|2.34|4,251,667,977.28|3.54|-29.90|
应付债券|6,076,363,747.19|4.78|5,894,532,097.86|4.90|3.08|
长期应付款|4,196,397,730.53|3.30|4,634,829,287.57|3.86|-9.46|
