page|68
项            目|附注|2019 年度|2018 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,864,320,978.75|4,328,211,316.54
收到的税费返还||71,254,169.55|61,248,092.68
收到其他与经营活动有关的现金|六、52|116,825,590.77|83,983,408.99
经营活动现金流入小计||5,052,400,739.07|4,473,442,818.21
购买商品、接受劳务支付的现金||2,803,995,448.07|2,426,369,434.98
支付给职工以及为职工支付的现金||757,237,393.44|713,562,531.11
支付的各项税费||258,502,966.41|249,850,568.75
支付其他与经营活动有关的现金|六、52|884,393,524.98|759,753,182.99
经营活动现金流出小计||4,704,129,332.90|4,149,535,717.83
经营活动产生的现金流量净额||348,271,406.17|323,907,100.38
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||7,514,057.09|7,154,674.51
处置固定资产、无形资产和其他长期资产收回的现金净额||2,825,003.59|6,797,076.81
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||10,339,060.68|13,951,751.32
购建固定资产、无形资产和其他长期资产支付的现金||366,512,169.12|388,440,897.70
投资支付的现金||56,766,721.32|
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|六、52||6,400,000.00
投资活动现金流出小计||423,278,890.44|394,840,897.70
投资活动产生的现金流量净额||-412,939,829.76|-380,889,146.38
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||46,942,796.00
其中：子公司吸收少数股东投资收到的现金|||46,942,796.00
取得借款所收到的现金||1,233,791,374.23|467,143,436.60
收到其他与筹资活动有关的现金|六、52|50,000,000.00|70,000,000.00
筹资活动现金流入小计||1,283,791,374.23|584,086,232.60
偿还债务所支付的现金||1,103,000,000.00|272,837,507.11
分配股利、利润或偿付利息所支付的现金||117,838,280.89|104,051,726.50
其中：子公司支付给少数股东的股利、利润||1,442,862.04|14,017,261.46
支付其他与筹资活动有关的现金|六、52|109,184,510.10|162,909,079.22
筹资活动现金流出小计||1,330,022,790.99|539,798,312.83
筹资活动产生的现金流量净额||-46,231,416.76|44,287,919.77
四、汇率变动对现金及现金等价物的影响||1,281,291.16|5,806,913.05
五、现金及现金等价物净增加额||-109,618,549.19|-6,887,213.18
加：期初现金及现金等价物余额||687,243,142.56|694,130,355.74
六、期末现金及现金等价物余额||577,624,593.37|687,243,142.56
