page|84
项目|附注七|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金|||1,586,565,651.85  1,724,419,923.15
page|85
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|注释 76|128,353,653.69|179,196,284.02
经营活动现金流入小计|||1,714,919,305.54  1,903,616,207.17
购买商品、接受劳务支付的现金||812,460,843.59|789,665,749.31
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||657,859,249.74|656,170,229.50
支付的各项税费||181,867,819.40|149,280,532.71
支付其他与经营活动有关的现金|注释 76|371,264,315.43|422,444,079.42
经营活动现金流出小计|||2,023,452,228.16  2,017,560,590.94
经营活动产生的现金流量净额||-308,532,922.62|-113,944,383.77
二、投资活动产生的现金流量：|||
收回投资收到的现金||158,000,000.00|606,000,000.00
取得投资收益收到的现金||2,026,673.98|5,518,091.78
处置固定资产、无形资产和其他长期资产收回的现金净额||225,119.71|161,090.20
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||160,251,793.69|611,679,181.98
购建固定资产、无形资产和其他长期资产支付的现金||63,662,697.34|110,579,072.05
投资支付的现金||619,859,455.00|460,462,745.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||16,495,559.11|
支付其他与投资活动有关的现金|||
投资活动现金流出小计||700,017,711.45|571,041,817.05
投资活动产生的现金流量净额||-539,765,917.76|40,637,364.93
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||29,370,000.00|42,669,000.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,180,000,000.00|150,000,000.00
收到其他与筹资活动有关的现金|注释 76|30,300,000.00|
page|86
筹资活动现金流入小计||1,239,670,000.00|192,669,000.00
偿还债务支付的现金||280,000,000.00|20,000,000.00
分配股利、利润或偿付利息支付的现金||130,503,238.88|103,282,496.92
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||455,635.88
筹资活动现金流出小计||410,503,238.88|123,738,132.80
筹资活动产生的现金流量净额||829,166,761.12|68,930,867.20
四、汇率变动对现金及现金等价物的影响||-489,372.20|-61,719.50
五、现金及现金等价物净增加额||-19,621,451.46|-4,437,871.14
加：期初现金及现金等价物余额||684,644,837.58|689,082,708.72
六、期末现金及现金等价物余额||665,023,386.12|684,644,837.58
