page|81
项目|附注七|2019 年度|2018 年度
一、营业总收入|注释 59||2,563,308,389.26  2,151,576,191.76
其中：营业收入|注释 59||2,563,308,389.26  2,151,576,191.76
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,927,616,340.45|1,621,093,415.42
其中：营业成本|注释 59||1,549,514,929.83  1,297,309,761.99
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
page|82
分保费用|||
税金及附加|注释 60|22,817,652.58|15,281,885.54
销售费用|注释 61|47,581,363.51|31,839,339.35
管理费用|注释 62|198,689,730.65|199,293,605.44
研发费用|注释 63|84,277,158.59|71,851,118.54
财务费用|注释 64|24,735,505.29|5,517,704.56
其中：利息费用||24,552,806.60|3,961,323.32
利息收入||2,156,298.61|1,676,849.08
加：其他收益|注释 65|34,717,447.91|35,429,386.08
投资收益（损失以“－”号填列）|注释 66|-2,456,907.58|4,110,149.52
其中：对联营企业和合营企业的投资收益||-5,561,805.61|-1,407,942.26
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|注释 68|2,526,498.71|3,549.00
|信用减值损失（损失以“-”号填列）  注释 69|-162,122,248.34|
|资产减值损失（损失以“-”号填列）  注释 70||-153,119,423.05
|资产处置收益（损失以“－”号填列）  注释 71|233,535.22|-75,425.64
三、营业利润（亏损以“－”号填列）||508,590,374.73|416,831,012.25
加：营业外收入|注释 72|4,325.52|3,000.00
减：营业外支出|注释 73|4,027,723.54|388,125.29
四、利润总额（亏损总额以“－”号填列）||504,566,976.71|416,445,886.96
减：所得税费用|注释 74|72,053,443.82|63,559,604.73
五、净利润（净亏损以“－”号填列）||432,513,532.89|352,886,282.23
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||432,513,532.89|352,886,282.23
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||430,363,528.08|352,886,282.23
2.少数股东损益（净亏损以“-”号填列）||2,150,004.81|
六、其他综合收益的税后净额||-70,043.64|910,814.08
（一）归属母公司所有者的其他综合收益的税后净额||-70,043.64|910,814.08
1．不能重分类进损益的其他综合收益||-158,980.69|
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-158,980.69|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||88,937.05|910,814.08
（1）权益法下可转损益的其他综合收益|||
page|83
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||935,466.64
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||88,937.05|-24,652.56
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||432,443,489.25|353,797,096.31
（一）归属于母公司所有者的综合收益总额||430,293,484.44|353,797,096.31
（二）归属于少数股东的综合收益总额||2,150,004.81|
八、每股收益：|||
（一）基本每股收益(元/股)||2.38|2.83
（二）稀释每股收益(元/股)||2.37|2.84
