page|77
项目|附注七|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|注释 1|699,350,466.54|722,209,561.33
结算备付金|||
拆出资金|||
交易性金融资产|注释 2|102,240.00|
以公允价值计量且其变动计入当期损益的金融资产|注释 2||85,449.00
衍生金融资产|||
应收票据|注释 4|4,750,000.00|1,000,000.00
应收账款|注释 5|2,675,671,831.97|2,060,137,544.94
应收款项融资|||
预付款项|注释 7|20,854,779.96|46,599,662.86
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|注释 8|483,578,221.37|274,771,549.24
其中：应收利息||1,106,557.38|
应收股利|||
买入返售金融资产|||
存货|注释 9|487,585,858.43|136,765,893.24
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|注释 12|2,125,150.18|55,640,654.30
流动资产合计||4,374,018,548.45|3,297,210,314.91
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|附注五、41||58,597,461.64
其他债权投资|注释 14|200,000,000.00|
持有至到期投资|||
长期应收款||345,341,951.67|
page|78
长期股权投资|注释 16|297,204,688.17|17,266,493.78
其他权益工具投资|注释 17|53,722,469.31|
其他非流动金融资产|注释 18|10,145,174.35|
投资性房地产|注释 19|14,638,978.42|15,537,761.61
固定资产|注释 20|430,711,475.28|440,978,402.47
在建工程|||
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|注释 25|34,841,614.30|32,275,758.93
开发支出|||
商誉|注释 27|45,224,845.68|
长期待摊费用|注释 28|7,336,024.95|7,462,306.52
递延所得税资产|注释 29|116,039,305.38|103,159,441.35
其他非流动资产|注释 30|23,400,000.00|400,000.00
非流动资产合计||1,578,606,527.51|675,677,626.30
资产总计||5,952,625,075.96|3,972,887,941.21
流动负债：|||
短期借款|注释 31|730,000,000.00|130,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|||
应付账款|注释 35|708,118,262.62|630,487,171.52
预收款项|注释 36|94,845,600.61|128,465,298.18
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|注释 37|568,252,838.20|646,836,570.29
应交税费|注释 38|166,625,661.72|102,687,135.91
其他应付款|注释 39|119,546,218.79|93,401,709.91
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|||
流动负债合计||2,387,388,581.94|1,731,877,885.81
非流动负债：|||
保险合同准备金|||
长期借款|注释 43|300,000,000.00|
应付债券|||
其中：优先股|||
page|79
永续债|||
租赁负债|||
长期应付款|注释 46|587,479,355.50|
长期应付职工薪酬|||
预计负债|||
递延收益|注释 49|9,793,399.14|12,212,090.71
递延所得税负债|注释 29|861,293.59|
其他非流动负债|注释 50|30,240,660.55|
非流动负债合计||928,374,708.78|12,212,090.71
负债合计||3,315,763,290.72|1,744,089,976.52
所有者权益（或股东权益）：|||
实收资本（或股本）|注释 51|185,890,627.00|126,131,467.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|注释 53|839,722,435.12|856,183,661.56
减：库存股|注释 54|62,174,640.00|42,669,000.00
其他综合收益|注释 55|-94,288.96|911,221.32
专项储备|注释 56|22,248,842.72|19,811,519.50
盈余公积|注释 57|168,884,602.24|128,364,334.81
一般风险准备|||
未分配利润|注释 58||1,472,978,645.79   1,140,064,760.50
归属于母公司所有者权益（或股东权益）合计|||2,627,456,223.91   2,228,797,964.69
少数股东权益||9,405,561.33|
所有者权益（或股东权益）合计|||2,636,861,785.24   2,228,797,964.69
负债和所有者权益（或股东权益）总计||5,952,625,075.96|3,972,887,941.21
