page|95
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||508,823,566.12|716,817,349.52
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
page|96
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||31,107,033.45|30,917,472.22
收到其他与经营活动有关的现金||23,475,462.48|56,054,250.93
经营活动现金流入小计||563,406,062.05|803,789,072.67
购买商品、接受劳务支付的现金||129,835,693.08|211,577,071.71
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||216,264,550.82|224,404,454.51
支付的各项税费||68,567,757.87|66,641,944.31
支付其他与经营活动有关的现金||63,062,201.93|95,919,223.17
经营活动现金流出小计||477,730,203.70|598,542,693.70
经营活动产生的现金流量净额||85,675,858.35|205,246,378.97
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,131,117,353.33|654,374,386.15
取得投资收益收到的现金||8,100,810.00|
处置固定资产、无形资产和其他长期资产收回的现金净额||1,046,793.98|2,194,150.90
处置子公司及其他营业单位收到的现金净额|||332,131,738.43
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,140,264,957.31|988,700,275.48
购建固定资产、无形资产和其他长期资产支付的现金||2,078,921.05|43,369,071.22
投资支付的现金||1,078,432,000.00|1,278,168,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,080,510,921.05|1,321,537,071.22
投资活动产生的现金流量净额||59,754,036.26|-332,836,795.74
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||30,000,000.00
收到其他与筹资活动有关的现金||45,038,654.70|
筹资活动现金流入小计||45,038,654.70|30,000,000.00
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||48,250,048.22|45,408,274.63
page|97
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||2,993,951.08|127,091,737.83
筹资活动现金流出小计||51,243,999.30|172,500,012.46
筹资活动产生的现金流量净额||-6,205,344.60|-142,500,012.46
四、汇率变动对现金及现金等价物的影响||-2,596.79|-14,492.18
五、现金及现金等价物净增加额||139,221,953.22|-270,104,921.41
加：期初现金及现金等价物余额||771,926,611.56|1,042,031,532.97
六、期末现金及现金等价物余额||911,148,564.78|771,926,611.56
