page|92
项目|附 注|2021 年度|2020 年度
一、营业总收入||444,449,331.14|699,393,005.89
其中：营业收入||444,449,331.14|699,393,005.89
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||388,385,257.38|602,500,460.07
其中：营业成本||128,350,746.12|318,731,433.97
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
page|93
分保费用|||
税金及附加||6,703,651.35|8,249,784.55
销售费用||107,887,563.89|105,053,707.48
管理费用||73,093,205.23|91,319,388.28
研发费用||91,396,005.00|99,509,455.26
财务费用||-19,045,914.21|-20,363,309.47
其中：利息费用||294,905.04|1,138,858.79
利息收入||19,370,719.27|21,560,995.19
加：其他收益||32,427,716.46|33,459,961.09
投资收益（损失以“－”号填列）||28,065,059.88|38,828,037.71
其中：对联营企业和合营企业的投资收益||18,225,963.15|7,580,063.77
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||-5,281,152.49|-223,250.48
资产减值损失（损失以“-”号填列）||-588,447,319.65|158,616.54
资产处置收益（损失以“－”号填列）||-228,638.47|-584,882.21
三、营业利润（亏损以“－”号填列）||-477,400,260.51|168,531,028.47
加：营业外收入||49,999,544.11|3,840,167.69
减：营业外支出||594,093.84|525,751.07
四、利润总额（亏损总额以“－”号填列）||-427,994,810.24|171,845,445.09
减：所得税费用||-142,198.47|13,977,461.99
五、净利润（净亏损以“－”号填列）||-427,852,611.77|157,867,983.10
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-427,852,611.77|129,641,059.51
2.终止经营净利润（净亏损以“－”号填列）|||28,226,923.59
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-427,852,611.77|155,528,195.81
2.少数股东损益（净亏损以“-”号填列）|||2,339,787.29
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
page|94
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||-427,852,611.77|157,867,983.10
（一）归属于母公司所有者的综合收益总额||-427,852,611.77|155,528,195.81
（二）归属于少数股东的综合收益总额|||2,339,787.29
八、每股收益：|||
（一）基本每股收益(元/股)||-0.9573|0.3480
（二）稀释每股收益(元/股)||-0.9573|0.3480
