page|60
项目|附 注|2020 年度|2019 年度
一、营业总收入||847,683,914.13|1,309,783,443.65
其中：营业收入||847,683,914.13|1,309,783,443.65
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||852,993,293.94|1,167,037,259.22
其中：营业成本||702,994,935.42|974,923,941.93
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||8,883,321.05|8,780,651.17
销售费用||36,331,138.60|67,481,164.09
管理费用||47,322,449.79|58,767,569.84
研发费用||31,481,235.86|54,196,615.46
财务费用||25,980,213.22|2,887,316.73
其中：利息费用||15,463,287.00|14,124,705.81
利息收入||3,883,935.65|4,436,460.14
加：其他收益||13,822,613.90|4,239,982.18
投资收益（损失以“－”号填列）||6,475,499.06|9,673,579.52
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||-327,189.62|980,145.21
信用减值损失（损失以“-”号填列）||3,800,711.75|-6,420,459.86
资产减值损失（损失以“-”号填列）||-9,266,180.27|-15,315,314.17
page|61
资产处置收益（损失以“－”号填列）||828,520.40|207,753.58
三、营业利润（亏损以“－”号填列）||10,024,595.41|136,111,870.89
加：营业外收入||884,150.49|182,425.73
减：营业外支出||3,078,958.49|437,732.61
四、利润总额（亏损总额以“－”号填列）||7,829,787.41|135,856,564.01
减：所得税费用||1,568,014.56|27,056,704.95
五、净利润（净亏损以“－”号填列）||6,261,772.85|108,799,859.06
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||6,261,772.85|108,799,859.06
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||4,340,861.76|112,281,968.26
2.少数股东损益（净亏损以“-”号填列）||1,920,911.09|-3,482,109.20
六、其他综合收益的税后净额||-4,622,748.91|-2,114,643.45
（一）归属母公司所有者的其他综合收益的税后净额||-4,643,956.11|-2,130,115.67
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-4,643,956.11|-2,130,115.67
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-4,643,956.11|-2,130,115.67
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||21,207.20|15,472.22
七、综合收益总额||1,639,023.94|106,685,215.61
（一）归属于母公司所有者的综合收益总额||-303,094.35|110,151,852.59
（二）归属于少数股东的综合收益总额||1,942,118.29|-3,466,636.98
page|62
八、每股收益：|||
（一）基本每股收益(元/股)||0.02|0.54
（二）稀释每股收益(元/股)||0.02|0.54
