page|120
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
page|121
销售商品、提供劳务收到的现金||4,134,688,762.18|13,841,024,382.92
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||-|619,574.62
收到其他与经营活动有关的现金|78|116,105,714.00|209,508,364.69
经营活动现金流入小计||4,250,794,476.18|14,051,152,322.23
购买商品、接受劳务支付的现金||1,717,216,057.17|10,312,235,716.79
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||258,127,060.11|295,594,344.11
支付的各项税费||634,847,486.38|1,017,812,786.59
支付其他与经营活动有关的现金|78|744,825,641.32|1,009,344,594.76
经营活动现金流出小计||3,355,016,244.98|12,634,987,442.25
经营活动产生的现金流量净额||895,778,231.20|1,416,164,879.98
二、投资活动产生的现金流量：|||
收回投资收到的现金||990,435,901.61|502,732,202.00
取得投资收益收到的现金||14,708,659.71|12,751,127.70
处置固定资产、无形资产和其他长期资产收回的现金净额||181,155.00|506,313.69
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|78|-|
投资活动现金流入小计||1,005,325,716.32|515,989,643.39
购建固定资产、无形资产和其他长期资产支付的现金||625,406,880.83|156,800,303.64
投资支付的现金||540,028,073.23|543,224,718.40
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||228,103,559.87|
page|122
支付其他与投资活动有关的现金|78|641,427,991.11|
投资活动现金流出小计||2,034,966,505.04|700,025,022.04
投资活动产生的现金流量净额||-1,029,640,788.72|-184,035,378.65
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||-|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||4,402,490,382.37|2,955,000,000.00
收到其他与筹资活动有关的现金|78|212,450,000.00|513,230,178.82
筹资活动现金流入小计||4,614,940,382.37|3,468,230,178.82
偿还债务支付的现金||4,014,931,768.00|3,647,900,000.00
分配股利、利润或偿付利息支付的现金||817,576,133.50|515,347,747.56
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|78|193,750,000.00|584,788,750.00
筹资活动现金流出小计||5,026,257,901.50|4,748,036,497.56
筹资活动产生的现金流量净额||-411,317,519.13|-1,279,806,318.74
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-545,180,076.65|-47,676,817.41
加：期初现金及现金等价物余额||1,015,198,862.30|1,062,875,679.71
六、期末现金及现金等价物余额||470,018,785.65|1,015,198,862.30
