page|48
项目||||附注|2021 年度|2020 年度
一、营业总收入|||||1,365,356,307.59|1,121,378,396.37
其中 ：营业收入|||||1,365,356,307.59|1,121,378,396.37
利息收入||||||
已赚保费||||||
手续费及佣金收入||||||
二、营业总成本|||||1,382,467,935.38|1,168,725,466.72
其中 ：营业成本|||||1,035,418,753.90|879,869,644.72
利息支出||||||
手续费及佣金支出||||||
退保金||||||
赔付支出净额||||||
提取保险责任准备金净额||||||
保单红利支出||||||
分保费用||||||
税金及附加|||||21,669,540.82|14,101,085.79
销售费用|||||69,660,717.92|57,746,110.39
管理费用|||||193,999,718.22|167,440,580.52
研发费用||||||
财务费用|||||61,719,204.52|49,568,045.30
其中 ：利息费用|||||64,547,208.99|50,865,319.25
利息收入|||||3,944,590.29|2,374,693.24
加 ：其他收益|||||9,520,585.71|6,312,226.39
投资收益（损失以“－”号填列）|||||76,352.05|
其中 ：对联营企业和合营企业的投资收益|||||76,352.05|
以摊余成本计量的金融资产终止确认收益||||||
汇兑收益（损失以“－”号填列）||||||
净敞口套期收益（损失以“-”号填列）||||||
公允价值变动收益（损失以“－”号填列）||||||
信用减值损失（损失以“-”号填列）|||||11,897,111.52|-29,070,447.62
资产减值损失（损失以“-”号填列）|||||-125,028.00|73,892.19
资产处置收益（损失以“－”号填列）|||||1,449,050.66|3,018,141.01
三、营业利润（亏损以“－”号填列）|||||5,706,444.15|-67,013,258.38
加 ：营业外收入|||||3,221,843.60|3,170,329.95
减 ：营业外支出|||||3,205,454.62|16,944,733.24
四、利润总额（亏损总额以“－”号填列）|||||5,722,833.13|-80,787,661.67
减 ：所得税费用|||||2,641,215.73|-9,739,195.74
五、净利润（净亏损以“－”号填列）|||||3,081,617.40|-71,048,465.93
（一）按经营持续性分类||||||
1. 持续经营净利润（净亏损以“－”号填列）|||||3,081,617.40|-71,048,465.93
2. 终止经营净利润（净亏损以“－”号填列）||||||
（二）按所有权归属分类||||||
1. 归属于母公司股东的净利润（净亏损以“-”号填列）|||||7,405,625.82|-71,598,583.70
2. 少数股东损益（净亏损以“-”号填列）|||||-4,324,008.42|550,117.77
