page|89
合并资产负债表|||
2019 年 12 月 31 日|||
(除特别注明外，金额单位为人民币元)|||
||2019 年|2018 年
资产|附注|12 月 31 日|12 月 31 日
|||(经重列)
流动资产|||
货币资金|四(1)||
||5,081,641,969|5,574,382,892
应收账款|四(2)||
||3,197,690,464|3,358,331,949
预付款项|四(3)||
||605,314,333|906,261,046
其他应收款|四(4)||
||272,801,588|222,976,826
存货|四(5)||
||1,817,059,269|1,481,817,270
一年内到期的非流动资产|四(6)||
||28,865,131|-
其他流动资产|四(7)||
||305,595,567|617,853,476
流动资产合计|||
||11,308,968,321|12,161,623,459
非流动资产|||
可供出售金融资产|四(8)||
||—|1,565,806,331
长期应收款|四(10)||
||65,856,346|89,762,071
长期股权投资|四(11)||
||6,455,784,562|6,395,134,754
其他权益工具投资|四(9)||
||3,142,371,373|—
投资性房地产|四(12)||
||52,093,631|10,810,722
固定资产|四(13)||
||38,555,718,718|41,157,594,848
在建工程|四(14)||
||10,882,003,846|7,740,754,343
无形资产|四(15)||
||1,787,738,640|1,863,588,771
商誉|四(16)||
||2,449,886|2,449,886
长期待摊费用|四(17)||
||19,473,586|22,089,179
递延所得税资产|四(18)||
||445,709,226|448,431,684
其他非流动资产|四(19)||
||2,753,858,988|1,871,616,258
非流动资产合计|||
||64,163,058,802|61,168,038,847
资产总计|||
||75,472,027,123|73,329,662,306
page|90
合并资产负债表(续)|||
2019 年 12 月 31 日|||
(除特别注明外，金额单位为人民币元)|||
||2019 年|2018 年
负债及股东权益|附注|12 月 31 日|12 月 31 日
|||(经重列)
流动负债|||
短期借款|四(21)||
||5,904,132,791|7,526,000,000
应付票据|四(22)||
||1,364,236,650|941,161,107
应付账款|四(23)||
||2,465,154,162|2,196,600,415
预收款项|||
||432,714|343,894
应付职工薪酬|四(24)||
||242,510,538|235,741,179
应交税费|四(25)||
||571,377,151|397,001,706
其他应付款|四(26)||
||4,042,117,097|4,152,518,495
一年内到期的非流动负债|四(27)||
||3,182,980,482|2,779,347,654
其他流动负债|四(28)||
||1,912,282,192|1,107,904,110
流动负债合计|||
||19,685,223,777|19,336,618,560
非流动负债|||
长期借款|四(29)||
||16,587,103,380|18,802,292,664
应付债券|四(30)||
||1,496,631,799|838,326,742
长期应付款|四(31)||
||2,485,346,245|2,311,513,249
递延收益|四(32)||
||139,256,513|133,043,646
长期应付职工薪酬|四(33)||
||134,988,860|122,913,388
递延所得税负债|四(18)||
||537,385,614|100,726,841
其他非流动负债|四(34)||
||216,405,569|166,405,569
非流动负债合计|||
||21,597,117,980|22,475,222,099
负债合计|||
||41,282,341,757|41,811,840,659
股东权益|||
股本|四(35)||
||5,250,283,986|5,250,283,986
资本公积|四(36)||
||5,096,918,174|5,102,846,886
其他综合收益|四(37)||
||1,676,143,044|550,010,133
盈余公积|四(38)||
||8,245,767,593|7,834,155,143
未分配利润|四(39)||
||5,909,128,280|5,490,006,140
归属于母公司股东权益合计|||
||26,178,241,077|24,227,302,288
少数股东权益|||
||8,011,444,289|7,290,519,359
股东权益合计|||
||34,189,685,366|31,517,821,647
负债及股东权益总计|||
||75,472,027,123|73,329,662,306
