page|139
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||482,454,644.89|379,418,568.29
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||14,983.49|
收到其他与经营活动有关的现金|七(78)1|15,256,316.75|8,768,753.98
经营活动现金流入小计||497,725,945.13|388,187,322.27
购买商品、接受劳务支付的现金||326,907,462.16|308,633,667.36
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
page|140
支付给职工及为职工支付的现金||67,818,812.19|71,137,650.78
支付的各项税费||25,520,471.80|21,742,343.67
支付其他与经营活动有关的现金||20,388,807.43|22,697,791.02
经营活动现金流出小计|七(78)2|440,635,553.58|424,211,452.83
经营活动产生的现金流量净额||57,090,391.55|-36,024,130.56
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,058,987,022.43|384,380,876.78
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||70,796.45|
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,059,057,818.88|384,380,876.78
购建固定资产、无形资产和其他长期资产支付的现金||69,380,385.37|7,602,786.84
投资支付的现金||776,963,636.45|762,526,583.29
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||846,344,021.82|770,129,370.13
投资活动产生的现金流量净额||212,713,797.06|-385,748,493.35
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||449,109,011.32
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||104,146,050.00|104,913,737.00
收到其他与筹资活动有关的现金|七（78）5|15,426,313.81|
筹资活动现金流入小计||119,572,363.81|554,022,748.32
偿还债务支付的现金||130,287,799.64|103,116,304.98
分配股利、利润或偿付利息支付的现金||19,532,587.92|4,191,206.88
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七（78）6|2,967,348.38|19,042,303.01
筹资活动现金流出小计||152,787,735.94|126,349,814.87
筹资活动产生的现金流量净额||-33,215,372.13|427,672,933.45
page|141
四、汇率变动对现金及现金等价物的影响||-214,027.42|
五、现金及现金等价物净增加额||236,374,789.06|5,900,309.54
加：期初现金及现金等价物余额||21,191,574.80|15,291,265.26
六、期末现金及现金等价物余额||257,566,363.86|21,191,574.80
