page|73
项  目|附注|2021 年度|2020 年度
一、营业总收入||25,160,471,219.14|21,129,159,290.79
其中：营业收入|七、61|25,160,471,219.14|21,129,159,290.79
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||24,099,224,794.03|20,007,998,535.00
其中：营业成本|七、61|22,555,935,677.31|18,371,636,645.71
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、62|99,159,418.87|77,408,697.88
销售费用|七、63|481,315,167.30|709,236,675.13
管理费用|七、64|769,571,230.41|632,141,684.21
研发费用|七、65|25,250,567.77|40,996,917.48
财务费用|七、66|167,992,732.37|176,577,914.59
其中：利息费用|七、66|175,832,524.40|243,286,920.44
利息收入|七、66|17,918,067.40|129,692,725.76
加：      其他收益|七、67|53,229,826.85|47,969,912.23
投资收益 ( 损失以“－”号填列 )|七、68|47,230,292.10|17,147,927.47
其中：对联营企业和合营企业的投资收益|七、68|-1,495.43|-2,365.20
以摊余成本计量的金融资产终止确认收益|||
汇兑收益 ( 损失以“－”号填列 )|||
净敞口套期收益 ( 损失以“-”号填列 )|||
公允价值变动收益 ( 损失以“－”号填列 )|七、70|9,390,847.44|-40,079,615.36
信用减值损失 ( 损失以“-”号填列 )|七、71|-54,576,145.33|-16,491,420.52
资产减值损失 ( 损失以“-”号填列 )|七、72|-336,709,309.90|-377,848,480.13
资产处置收益 ( 损失以“－”号填列 )|七、73|-1,148,695.90|487,568.06
三、营业利润 ( 亏损以“－”号填列 )||778,663,240.37|752,346,647.54
page|74
编制单位 : 中粮糖业控股股份有限公司|||单位 : 元  币种 : 人民币
项  目|附注|2021 年度|2020 年度
五、净利润 ( 净亏损以“－”号填列 )||535,694,019.77|557,826,280.21
( 一 )    按经营持续性分类|||
1. 持续经营净利润 ( 净亏损以“－”号填列 )||535,694,019.77|557,826,280.21
2. 终止经营净利润 ( 净亏损以“－”号填列 )|||
( 二 )    按所有权归属分类|||
1. 归属于母公司股东的净利润 ( 净亏损以“-”号填列 )||519,524,549.52|529,146,143.45
2. 少数股东损益 ( 净亏损以“-”号填列 )||16,169,470.25|28,680,136.76
六、其他综合收益的税后净额||659,001,583.91|726,657,902.34
( 一 )    归属母公司所有者的其他综合收益的税后净额||663,601,798.63|700,737,294.22
1．不能重分类进损益的其他综合收益||957,230.66|-608,744.17
(1) 重新计量设定受益计划变动额||530,605.60|-688,201.10
(2) 权益法下不能转损益的其他综合收益|||
(3) 其他权益工具投资公允价值变动||426,625.06|79,456.93
(4) 企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||662,644,567.97|701,346,038.39
(1) 权益法下可转损益的其他综合收益|||
(2) 其他债权投资公允价值变动|||
(3) 金融资产重分类计入其他综合收益的金额|||
(4) 其他债权投资信用减值准备|||
(5) 现金流量套期储备||725,490,588.79|713,764,451.50
(6) 外币财务报表折算差额||-62,846,020.82|-12,418,413.11
(7) 其他|||
( 二 )    归属于少数股东的其他综合收益的税后净额||-4,600,214.72|25,920,608.12
七、综合收益总额||1,194,695,603.68|1,284,484,182.55
( 一 )    归属于母公司所有者的综合收益总额||1,183,126,348.15|1,229,883,437.67
( 二 )    归属于少数股东的综合收益总额||11,569,255.53|54,600,744.88
八、每股收益：|||
( 一 )    基本每股收益 ( 元 / 股 )||0.2429|0.2474
( 二 )    稀释每股收益 ( 元 / 股 )||0.2429|0.2474
