page|133
项目|附注八|2020年度|2019年度
一、经营活动产生的现金流量：|||
收取利息、手续费及佣金的现金||47,455,044,233.29|31,243,412,368.31
拆出资金净减少额||3,596,742,411.08|-
回购业务资金净增加额||40,358,598,573.05|60,238,372,004.08
代理买卖证券收到的现金净额||74,483,274,172.91|25,442,481,378.66
收到其他与经营活动有关的现金|60|78,922,230,733.09|18,562,420,020.41
经营活动现金流入小计||244,815,890,123.42|135,486,685,771.46
为交易目的而持有的金融资产净增加额||22,759,726,728.64|72,555,112,259.27
融出资金净增加额||43,496,127,368.20|13,774,918,686.56
拆入资金净减少额||22,727,830,359.45|(13,809,000,000.00)
支付利息、手续费及佣金的现金||12,213,196,761.18|7,988,149,276.01
支付给职工及为职工支付的现金||11,880,636,204.18|9,754,885,247.20
支付的各项税费||7,232,614,683.60|6,648,465,358.94
支付其他与经营活动有关的现金|61|22,680,727,683.03|16,597,786,024.04
经营活动现金流出小计||142,990,859,788.28|113,510,316,852.02
经营活动产生的现金流量净额|64|101,825,030,335.14|21,976,368,919.44
二、投资活动产生的现金流量：|||
收回投资收到的现金||3,196,328,611.73|15,861,873,058.18
取得投资收益收到的现金|62|282,309,533.20|1,269,043,170.11
取得子公司及其他营业单位收到的现金净额||13,731,880,530.51|-
处置子公司及其他营业单位收到的现金净额|63|9,653,017.47|(78,522,543.59)
收到其他与投资活动有关的现金||1,399,019,769.72|5,896,648.67
投资活动现金流入小计||18,619,191,462.63|17,058,290,333.37
投资支付的现金||24,866,256,049.22|382,166,666.67
购建固定资产、无形资产和其他长期资产支付的现金||609,264,278.10|428,597,523.19
支付其他与投资活动有关的现金||3,241,754.10|-
投资活动现金流出小计||25,478,762,081.42|810,764,189.86
投资活动产生的现金流量净额||(6,859,570,618.79)|16,247,526,143.51
三、筹资活动产生的现金流量：|||
取得借款收到的现金||33,484,107,830.75|15,408,410,973.74
发行债券收到的现金||223,715,020,260.84|102,389,150,033.55
收到其他与筹资活动有关的现金||449,452,755.63|74,766,051.00
筹资活动现金流入小计||257,648,580,847.22|117,872,327,058.29
偿还债务支付的现金||227,022,882,134.05|106,666,040,783.09
分配股利、利润或偿付利息支付的现金||13,918,583,964.88|10,321,723,539.90
其中：子公司支付给少数股东的||197,191,695.31|188,063,724.99
page|134
股利、利润|||
支付其他与筹资活动有关的现金||4,708,637,498.82|1,043,343,582.40
筹资活动现金流出小计||245,650,103,597.75|118,031,107,905.39
筹资活动产生的现金流量净额||11,998,477,249.47|(158,780,847.10)
四、汇率变动对现金及现金等价物的影响||(1,930,049,355.98)|(238,522,490.53)
五、现金及现金等价物净增加额||105,033,887,609.84|37,826,591,725.32
加：期初现金及现金等价物余额||177,822,867,101.68|139,996,275,376.36
六、期末现金及现金等价物余额|65|282,856,754,711.52|177,822,867,101.68
