page|114
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||54,820,934.28|33,516,273.67
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||14,556,662.12|8,325.37
收到其他与经营活动有关的现金|附注七、78|39,210,967.32|20,182,471.25
经营活动现金流入小计||108,588,563.72|53,707,070.29
购买商品、接受劳务支付的现金||173,958,556.97|112,359,898.75
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||115,851,541.52|69,154,493.42
支付的各项税费||2,297,295.56|1,141,352.25
支付其他与经营活动有关的现金|附注七、78|59,550,210.85|41,225,908.07
经营活动现金流出小计||351,657,604.90|223,881,652.49
经营活动产生的现金流量净额||-243,069,041.18|-170,174,582.20
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||37,727,771.40|5,132,728.07
处置固定资产、无形资产和其他长期资产收回的现金净额||158,709.03|-
page|115
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|附注七、78|5,801,000,000.00|957,000,000.00
投资活动现金流入小计||5,838,886,480.43|962,132,728.07
购建固定资产、无形资产和其他长期资产支付的现金||327,148,118.73|186,411,922.49
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||-|-
支付其他与投资活动有关的现金|附注七、78|5,530,000,000.00|1,741,000,000.00
投资活动现金流出小计||5,857,148,118.73|1,927,411,922.49
投资活动产生的现金流量净额||-18,261,638.30|-965,279,194.42
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||-|1,753,137,020.57
其中：子公司吸收少数股东投资收到的现金||-|2,200,000.00
取得借款收到的现金||279,685,074.90|14,991,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||279,685,074.90|1,768,128,020.57
偿还债务支付的现金||24,714,811.24|19,133,681.20
分配股利、利润或偿付利息支付的现金||5,542,218.40|1,359,367.73
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|附注七、78|30,105,563.55|-
筹资活动现金流出小计||60,362,593.19|20,493,048.93
筹资活动产生的现金流量净额||219,322,481.71|1,747,634,971.64
四、汇率变动对现金及现金等价物的影响||227,893.57|-478,752.89
五、现金及现金等价物净增加额||-41,780,304.20|611,702,442.13
加：期初现金及现金等价物余额||839,094,950.34|227,392,508.21
六、期末现金及现金等价物余额||797,314,646.14|839,094,950.34
