page|66
项目|附注七|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|1|1,136,415,846.70|1,114,009,406.65
结算备付金|||
拆出资金|||
交易性金融资产|2|1,311,948,737.38|1,351,773,005.67
衍生金融资产|||
应收票据|4|2,781,865.58|350,020.00
应收账款|5|88,379,819.48|101,292,284.94
应收款项融资|||
预付款项|7|19,029,699.77|18,040,163.58
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|8|15,114,373.85|17,343,350.36
其中：应收利息|||
应收股利||100,000.00|3,908,800.00
买入返售金融资产|||
存货|9|33,509,600.87|6,083,958.89
合同资产|10|2,498,926.09|13,402,310.54
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|13|8,733,887.08|43,159,394.56
流动资产合计||2,618,412,756.80|2,665,453,895.19
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|17|238,617,197.59|201,794,211.49
其他权益工具投资|18|1,622,154,870.62|1,548,816,975.25
其他非流动金融资产|19|96,953,504.96|98,558,974.79
投资性房地产|||
固定资产|21|26,836,672.98|24,293,867.88
在建工程|22|2,620,969.34|1,881,434.29
生产性生物资产|||
油气资产|||
使用权资产|25|568,227,685.91|
无形资产|26|643,110.48|
开发支出|||
商誉|28|7,632,278.34|7,632,278.34
长期待摊费用|29|9,280,668.40|2,929,850.21
递延所得税资产|30|30,993,150.09|9,723,821.00
page|67
其他非流动资产|||
非流动资产合计||2,603,960,108.71|1,895,631,413.25
资产总计||5,222,372,865.51|4,561,085,308.44
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|||
应付账款|36|231,743,045.71|229,280,753.51
预收款项|37|71,325,339.71|37,427,227.04
合同负债|38|202,577,556.90|75,135,092.65
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|39|49,226,374.33|42,655,237.01
应交税费|40|35,519,022.34|133,691,748.00
其他应付款|41|186,891,678.82|192,444,972.72
其中：应付利息|||
应付股利||61,830,548.95|60,825,874.24
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|43|80,743,338.93|
其他流动负债|44|8,317,594.18|4,290,060.25
流动负债合计||866,343,950.92|714,925,091.18
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|47|500,176,620.12|
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|||
递延所得税负债|30|63,545,434.96|73,754,325.39
其他非流动负债|||
非流动负债合计||563,722,055.08|73,754,325.39
负债合计||1,430,066,006.00|788,679,416.57
所有者权益（或股东权益）：|||
实收资本（或股本）|53|535,920,895.00|535,920,895.00
其他权益工具|||
其中：优先股|||
永续债|||
page|68
资本公积|55|45,422,683.29|45,422,683.29
减：库存股|56|25,086,903.26|
其他综合收益|57|190,202,370.81|221,261,042.09
专项储备|||
盈余公积|59|254,587,890.16|249,629,438.07
一般风险准备|||
未分配利润|60|2,714,907,043.39|2,655,627,835.50
归属于母公司所有者权益（或股东权益）合计||3,715,953,979.39|3,707,861,893.95
少数股东权益||76,352,880.12|64,543,997.92
所有者权益（或股东权益）合计||3,792,306,859.51|3,772,405,891.87
负债和所有者权益（或股东权益）总计||5,222,372,865.51|4,561,085,308.44
