page|70
项目|附注七|2021 年度|2020 年度
一、营业总收入||924,933,194.58|2,982,152,998.62
其中：营业收入|61|924,933,194.58|2,982,152,998.62
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||877,079,227.92|2,948,812,209.84
其中：营业成本|61|650,735,410.30|2,668,526,614.80
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|4,334,162.19|8,025,408.24
销售费用|63|58,837,959.32|105,616,804.21
管理费用|64|150,705,007.31|178,430,582.22
研发费用|||
财务费用|66|12,466,688.80|-11,787,199.63
其中：利息费用||28,494,925.72|1,159,536.32
利息收入||17,164,944.73|10,425,044.66
加：其他收益|67|10,401,655.70|17,796,311.57
投资收益（损失以“－”号填列）|68|129,347,740.98|147,571,141.92
其中：对联营企业和合营企业的投资收益||21,463,399.99|22,579,639.12
以摊余成本计量的金融资产终止确认收益||1,062,022.89|2,908,776.91
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|70|-43,622,970.22|-7,427,423.03
信用减值损失（损失以“-”号填列）|71|-2,928,603.55|-5,609,703.63
资产减值损失（损失以“-”号填列）|72|204,120.00|1,415,534.29
资产处置收益（损失以“－”号填列）|73|230,185.79|31,708.58
三、营业利润（亏损以“－”号填列）||141,486,095.36|187,118,358.48
加：营业外收入|74|209,513.37|21,060.65
page|71
减：营业外支出|75|613,519.78|476,778.26
四、利润总额（亏损总额以“－”号填列）||141,082,088.95|186,662,640.87
减：所得税费用|76|12,469,124.39|42,046,855.31
五、净利润（净亏损以“－”号填列）||128,612,964.56|144,615,785.56
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||128,612,964.56|130,008,597.19
2.终止经营净利润（净亏损以“－”号填列）|||14,607,188.37
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||119,998,158.24|138,353,680.40
2.少数股东损益（净亏损以“-”号填列）||8,614,806.32|6,262,105.16
六、其他综合收益的税后净额|77|-17,149,453.19|-140,165,876.73
（一）归属母公司所有者的其他综合收益的税后净额||-17,149,453.19|-140,165,876.73
1．不能重分类进损益的其他综合收益||-17,149,453.19|-140,165,876.73
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-17,149,453.19|-140,165,876.73
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||111,463,511.37|4,449,908.83
（一）归属于母公司所有者的综合收益总额||102,848,705.05|-1,812,196.33
（二）归属于少数股东的综合收益总额||8,614,806.32|6,262,105.16
八、每股收益：|||
（一）基本每股收益(元/股)||0.224|0.258
（二）稀释每股收益(元/股)||0.224|0.258
