page|73
项目|附注七|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,192,022,463.51|3,065,263,242.99
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||4,615,083.50|260,795,070.73
收到其他与经营活动有关的现金|78|60,851,619.99|93,628,988.96
经营活动现金流入小计||1,257,489,167.00|3,419,687,302.68
购买商品、接受劳务支付的现金||680,904,504.43|2,947,564,312.48
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||149,350,839.81|178,551,798.42
支付的各项税费||173,474,386.68|172,945,020.24
支付其他与经营活动有关的现金|78|119,455,759.62|194,427,761.40
经营活动现金流出小计||1,123,185,490.54|3,493,488,892.54
经营活动产生的现金流量净额||134,303,676.46|-73,801,589.86
二、投资活动产生的现金流量：|||
收回投资收到的现金||10,295,166,969.74|32,896,258,783.51
取得投资收益收到的现金||94,894,137.08|54,934,564.72
处置固定资产、无形资产和其他长期资产收回的现金净额||348,962.30|1,933,845.22
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||10,390,410,069.12|32,953,127,193.45
购建固定资产、无形资产和其他长期资产支付的现金||11,754,155.48|5,382,363.63
投资支付的现金||10,364,488,864.32|32,167,594,383.43
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||10,376,243,019.80|32,172,976,747.06
投资活动产生的现金流量净额||14,167,049.32|780,150,446.39
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||4,812,000.00|
page|74
其中：子公司吸收少数股东投资收到的现金||4,812,000.00|
取得借款收到的现金|||20,000,000.00
收到其他与筹资活动有关的现金|78||17,203,994.41
筹资活动现金流入小计||4,812,000.00|37,203,994.41
偿还债务支付的现金|||20,000,000.00
分配股利、利润或偿付利息支付的现金||70,481,324.90|62,667,572.94
其中：子公司支付给少数股东的股利、利润||811,608.55|7,327,016.52
支付其他与筹资活动有关的现金|78|90,958,324.95|374,218,442.62
筹资活动现金流出小计||161,439,649.85|456,886,015.56
筹资活动产生的现金流量净额||-156,627,649.85|-419,682,021.15
四、汇率变动对现金及现金等价物的影响||-98,346.14|5,463,440.87
五、现金及现金等价物净增加额||-8,255,270.21|292,130,276.25
加：期初现金及现金等价物余额||1,094,595,234.76|802,464,958.51
六、期末现金及现金等价物余额||1,086,339,964.55|1,094,595,234.76
